ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha
IrazKnqmUoA,2022-04-02,-0.999026656150818,2340.0,Sakshi,263.0,14.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bxRpvtZZlKo,2022-04-07,0.9978412389755248,18874.0,Sakshi,260.0,14.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0bPxQ38hBmw,2022-04-14,0.9988009929656982,87599.0,Sakshi,312.0,91.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lDTS8nxGVzM,2022-04-16,0.9949790835380554,137414.0,Sakshi,405.0,123.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qr6oWxs4Tlk,2022-04-17,0.9969210624694824,13176.0,Sakshi,385.0,101.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3RTlKy7EaE,2022-05-10,-0.9991222023963928,156682.0,Sakshi,272.0,443.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Y0r4nTqUpNs,2022-05-28,0.9838395714759828,38917.0,Sakshi,472.0,65.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1SdsoJroA,2022-05-30,0.9982630610466005,20329.0,Sakshi,387.0,42.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
o3NOl_QPNVY,2022-05-31,0.9962009787559508,39236.0,Sakshi,424.0,71.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EboME7EFHn0,2022-06-11,-0.9983554482460022,206386.0,Sakshi,190.0,819.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
qClwK88CT2o,2022-06-26,0.9978200197219848,13678.0,Sakshi,304.0,15.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hijm8VKMlYM,2022-06-26,0.9877062439918518,158038.0,Sakshi,420.0,313.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vYvmX0s_GKM,2022-06-30,-0.9298534989356996,1079.0,Sakshi,392.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
IZcZ3xI9wFA,2022-07-02,-0.9985112547874452,25783.0,Sakshi,166.0,105.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
gwgHHEkBWOg,2022-07-14,0.9942489862442015,2942.0,Sakshi,347.0,3.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAtvdLFCmbE,2022-07-18,-0.9994680285453796,242814.0,Sakshi,215.0,421.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
