ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,AP ,suprem court
IvV06WAgMnA,2023-01-20,-0.9992526173591614,3015.0,ABN,375.0,6.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
BJL9SFXi0iw,2023-01-22,0.9969959259033204,24058.0,TV5,500.0,13.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,1,0
-xK670mzrsk,2023-02-01,-0.9984266757965088,8154.0,ABN,355.0,4.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,1,1,0
g1ivgTgPRFg,2023-02-08,0.992207944393158,5256.0,Sakshi,248.0,26.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,0,1
KO4QpjQuYi4,2023-02-09,0.9975500702857972,12248.0,TV5,470.0,39.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
2jUCTxTm-rI,2023-02-27,0.998551070690155,2410.0,ABN,130.0,3.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
0hMRokFFIzk,2023-02-27,-0.9950457811355592,5130.0,ABN,220.0,15.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
36AW6logvbk,2023-02-27,-0.9983678460121156,16275.0,ABN,295.0,59.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
XSE6o5VxnYc,2023-03-06,-0.997913420200348,685.0,TV9,283.0,3.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
L_5Da58XxZc,2023-03-08,-0.9828224778175354,10008.0,Sakshi,176.0,14.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
hIuXXXMCwQs,2023-03-08,-0.9928733110427856,76162.0,Sakshi,221.0,249.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
