ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,raghurama ,AP ,yuvashakti,suprem court,ap development
7y0kLN8tIAI,2022-12-10,-0.997795581817627,6191.0,ABN,345.0,12.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,0,1,0,1,0,0,0,0
RFXDfRPq9ks,2022-12-13,-0.9916805624961852,1044.0,TV5,168.0,1.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,1,1,1,1,0,0,0,1,0,1
UuL34R0NQFc,2022-12-14,0.9919602274894714,33353.0,TV5,305.0,66.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,1,0,1,0,0,0,0
rn4vRiqFpOc,2022-12-14,-0.9932685494422911,718.0,TV5,361.0,3.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,1,0,0,0,0,0,1,0,0
DMHL1yuY7w4,2022-12-14,0.9983717799186708,1139.0,Sakshi,217.0,1.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,1,1,1,0,1,0,0,1,1,0
LdDbHaCURjQ,2022-12-14,-0.9980649352073668,11667.0,TV5,155.0,16.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,1,0,1,0,0,0,0
ZuP4li_5JTk,2022-12-15,-0.98844712972641,3080.0,ABN,180.0,4.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,0,1,0,1,1,0,1,1
J4f3bEumBkY,2022-12-15,-0.9887598752975464,2302.0,ABN,160.0,4.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,0,1,0,1,0,0,0,0
RRh4oziJigc,2022-12-15,-0.99761700630188,1204.0,ABN,205.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,1,0,1,0,0,0,0
cE5Hi8XR8jc,2022-12-16,-0.9879498481750488,11585.0,ABN,515.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
9OKDYPhhWKM,2022-12-16,0.9854157567024232,9428.0,TV9,319.0,24.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,0,1,0,0,0,0,0,0
zCuaHeVEfs4,2022-12-17,-0.998489499092102,4295.0,TV9,243.0,1.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,0,0,0,0,0,0,0,0,0,0
