ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Yellow Media,janasena party,ap employees,ap assembly session today,Atchannaidu,YSRCP Plenary,alliance,gudivada amarnath,polavaram,visakha,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,investors summit,suprem court,ap development,tadipatri,gudivada ,Kodali Nani ,varahi ,maa nammakam nuvve jagan,nandigama
AToQqvJ5s_E,2021-11-09,-0.9951785802841188,4553.0,Sakshi,191.0,19.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
rchoHAw6pz4,2021-11-15,0.9985713958740234,86819.0,Sakshi,321.0,134.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
26bsU5o3ErQ,2021-11-16,0.9936255216598512,17845.0,Sakshi,475.0,91.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K55BdsBVm98,2021-11-26,0.99844092130661,16050.0,Sakshi,68.0,24.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
id9IXnw1O2E,2021-12-13,-0.9971287846565248,11377.0,Sakshi,397.0,88.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FKY0nqn-brs,2021-12-25,0.9987755417823792,10373.0,Sakshi,184.0,14.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tdyvUv37YUQ,2022-01-06,-0.9975526928901672,62697.0,Sakshi,323.0,226.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
j21Zt3LupY8,2022-01-06,-0.9987955093383788,44456.0,Sakshi,233.0,266.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4t-rfIHrT08,2022-02-08,0.9982182383537292,8041.0,Sakshi,375.0,20.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goZCzc5PO1g,2022-02-11,0.9979158043861388,70668.0,Sakshi,376.0,117.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
