ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
eeNc95NUTu0,2022-09-19,0.9973161816596984,3866.0,Sakshi,145.0,15.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IXhHxm7Q_Do,2022-09-20,0.9911034107208252,3052.0,TV5,322.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
LdbxkRfK1aw,2022-09-21,-0.9984381794929504,995.0,TV5,559.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52gHtpCIEfk,2022-09-26,-0.9976093769073486,1739.0,TV5,252.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Ih7wq6pjqkA,2022-10-07,-0.999402403831482,49188.0,TV5,309.0,91.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
mDmxbXJZyO4,2022-10-07,-0.9981936812400818,5294.0,TV5,299.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kSxv5Sea1zc,2022-10-07,-0.9962737560272216,1920.0,TV5,299.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CyoyHr4MSIA,2022-10-08,-0.9977123737335204,8435.0,TV5,284.0,4.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0gLqJJMdwSA,2022-10-15,0.9986867308616638,6171.0,Sakshi,211.0,25.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
N63RNSuTrR0,2022-10-29,-0.995189905166626,596.0,ABN,284.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ6faKZDooM,2022-10-30,-0.9982197880744934,838.0,TV5,208.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9R_E-wBjD8Q,2022-10-30,-0.9948357343673706,689.0,TV5,310.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QvOjjitfbbw,2022-11-03,-0.993120551109314,14304.0,TV5,140.0,62.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NrybmCPwkXM,2022-11-03,-0.9786535501480104,6022.0,Sakshi,471.0,41.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5vXpkUh26c,2022-11-08,-0.9986031651496888,2793.0,Sakshi,146.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ki7ccveLJWE,2022-11-08,-0.989785134792328,1082.0,Sakshi,146.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YaOiGnAciNA,2022-11-14,0.9873371720314026,2627.0,TV5,595.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xo7F8qR7Fjk,2022-11-16,0.996969997882843,2641.0,Sakshi,291.0,16.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
kWGFlI6z-KY,2022-11-19,-0.9983453750610352,109595.0,Sakshi,369.0,130.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vza8EKkidtk,2022-11-23,-0.998401701450348,2470.0,TV5,350.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
z0bLbVbB058,2022-12-01,-0.9991257786750792,3460.0,TV9,267.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpn98Rk61K8,2022-12-01,0.9959979057312012,503.0,TV9,289.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3J3-w4USOo,2022-12-01,0.957557737827301,2802.0,TV9,265.0,20.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9D5KXd3Bmo,2022-12-03,0.9966005682945251,2486.0,Sakshi,135.0,31.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
W_bB4xcy1LU,2022-12-06,0.9884757995605468,1661.0,Sakshi,441.0,4.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTFpopiZj50,2022-12-07,0.9982323050498962,621.0,TV9,193.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jN3EWNwBleQ,2022-12-08,-0.9933386445045472,2806.0,ABN,255.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1MnCATqEfZA,2022-12-08,0.9912154674530028,2255.0,ABN,185.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
_eF7BMASHgc,2022-12-08,0.992215096950531,1339.0,ABN,473.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
QQcWfI5O2xM,2022-12-10,-0.9978758096694946,940.0,ABN,92.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VnGYcYbguHw,2022-12-12,0.9950188398361206,3121.0,TV5,430.0,9.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKmk5B2j0j4,2022-12-22,-0.9988161325454712,2184.0,TV9,183.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DfiS3CS9WU,2022-12-28,-0.998448610305786,4588.0,ABN,322.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ll3geiJURQ8,2022-12-30,-0.9990230798721312,1477.0,Sakshi,114.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
AKpH6_exltA,2022-12-30,0.9963831901550292,2742.0,ABN,245.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arL9oNM0EvQ,2022-12-31,-0.9981682300567628,12344.0,TV5,415.0,9.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
izom7I3DsKU,2023-01-03,0.9924129843711852,1731.0,TV9,502.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11d7kVC_fHQ,2023-01-03,-0.9979682564735411,769.0,TV5,260.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bbYyKa7shBg,2023-01-05,0.9968200922012328,1293.0,TV9,286.0,14.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
lvcbxUz8KAk,2023-01-05,-0.987585425376892,26066.0,TV9,212.0,28.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
KN05e-tO6Fs,2023-01-06,-0.997847318649292,1529.0,TV9,300.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pUzYAz33dUw,2023-01-07,-0.997749388217926,57236.0,ABN,286.0,43.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8z9CbznypwQ,2023-01-09,-0.9960480332374572,21561.0,TV5,285.0,54.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bsef_6pY0aY,2023-01-17,0.9882441759109496,14279.0,TV9,219.0,5.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
-CTflqQGig0,2023-01-22,0.9917958378791808,4948.0,Sakshi,358.0,74.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HpQA4Lm6Kv4,2023-01-22,-0.9880388379096984,3333.0,Sakshi,281.0,21.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Bxb8UYgYo44,2023-01-22,-0.9976432919502258,4350.0,Sakshi,218.0,24.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
_iGZLivjIg0,2023-01-22,0.9979615211486816,158972.0,TV5,550.0,209.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCfRx1jQAoc,2023-01-24,-0.99780935049057,601.0,TV5,373.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTJiLwyPT9U,2023-01-25,-0.99198979139328,293.0,ABN,166.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavHzqgCQPg,2023-01-28,0.9980733394622804,315.0,TV9,270.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoYUo2nHn7s,2023-01-29,-0.996989607810974,1153.0,ABN,295.0,1.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0mft9Mp7CfM,2023-01-29,0.9966933727264404,7412.0,TV9,279.0,9.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y9M15FrjjEc,2023-01-30,0.998151957988739,36807.0,TV9,324.0,28.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_F-cP6gSKwo,2023-01-30,0.9898451566696168,1663.0,TV5,100.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cn1Rl7IzPI,2023-01-31,-0.9975876808166504,4129.0,TV9,163.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eccEZuZV8GU,2023-01-31,0.9918023943901062,6233.0,TV9,179.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9XjtneIlpb4,2023-01-31,0.9887756109237672,18833.0,TV5,364.0,28.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
oQlPwcQOEpg,2023-01-31,0.9965028762817384,30417.0,TV9,198.0,13.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsi8bDjERbY,2023-01-31,-0.9927539229393004,7705.0,ABN,577.0,24.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bZtLtdcl0FE,2023-01-31,-0.9989031553268432,20128.0,TV9,368.0,28.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hV09alXYFGI,2023-01-31,0.9920538663864136,21227.0,TV5,87.0,7.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M9_8Ri0IT1w,2023-01-31,0.9899834394454956,3172.0,TV9,259.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_KvBR_vArpo,2023-01-31,-0.9924435019493104,19090.0,ABN,147.0,26.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pJwHVvqKfpk,2023-01-31,0.993776559829712,6704.0,TV9,149.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5EE56n8T4IM,2023-01-31,0.9916386008262634,31609.0,ABN,85.0,45.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UhEYfJZKTZ4,2023-01-31,-0.9832412004470824,48222.0,TV9,219.0,28.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hUtQj7iyMp0,2023-01-31,-0.99818354845047,2447.0,TV9,206.0,4.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
