ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, Botsa , vidadala ,Kakani,vijayasai reddy,jogi ramesh ,privatization,kotamreddy ,lakshmi parvathi,Preethi,roja,vidya deevena,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,Buggana Rajendranath,ys vijayamma,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,Devineni Avinash,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,butchaiah chowdary,Corona,janasena alliance with tdp,cpi narayana,gudivada ,bhuma akhila priya,Kodali Nani ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
_0OhIWjQ3vw,2019-12-26,0.9962729215621948,2494.0,Sakshi,359.0,6.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DvI-KPJCVTw,2020-03-03,-0.9971278309822084,21755.0,Sakshi,460.0,12.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EtuUqOCp77Y,2020-03-05,-0.9579288959503174,651.0,Sakshi,184.0,0.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
p9HjIgC53oc,2020-03-05,-0.9856337904930116,1339.0,Sakshi,408.0,5.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKiwBhCQQpg,2020-03-09,0.9985918402671814,21194.0,Sakshi,115.0,21.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORonIeNNLT0,2020-03-09,0.9942318797111512,5628.0,Sakshi,215.0,2.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEYzhS8Xc2s,2020-03-11,0.9918084740638732,10817.0,Sakshi,440.0,4.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8t3DfT6N04I,2020-03-11,0.9981396198272704,250.0,Sakshi,168.0,0.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ePWlzupwlYw,2020-03-11,0.9980521202087402,19608.0,Sakshi,316.0,12.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcdGpaH49gQ,2020-03-11,0.9925877451896667,426435.0,Sakshi,499.0,145.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNFjy40-dlw,2020-03-12,0.998685657978058,2643.0,Sakshi,490.0,1.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eczGHCB0l7o,2021-02-13,0.9840806126594543,80629.0,Sakshi,289.0,98.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1nuNVaiChk8,2021-02-14,0.9966036081314088,3681.0,Sakshi,255.0,2.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NkpMa8AXwnU,2021-02-15,0.9978110194206238,3331.0,Sakshi,487.0,7.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myxLlJ8vRW0,2021-02-16,0.9917044639587402,1474.0,Sakshi,200.0,0.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0
wcNH4CBc-YE,2021-02-17,-0.9948487877845764,73404.0,Sakshi,168.0,92.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWu6MxmhGJs,2021-02-20,0.9985472559928894,3203.0,Sakshi,247.0,10.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ejj5o5XPryo,2021-02-20,0.9966912269592284,591.0,Sakshi,199.0,2.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6G_UsrEh7ck,2021-02-21,0.9984697699546814,4179.0,Sakshi,193.0,2.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l1mdqGNJIs4,2021-02-21,0.9948534369468688,4138.0,Sakshi,482.0,8.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnH8Yj5t_xk,2021-08-07,-0.9987094402313232,9206.0,Sakshi,205.0,33.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kbPSa0G3jmk,2021-08-31,-0.998694121837616,3245.0,Sakshi,190.0,12.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tx2HdpwVqhQ,2021-09-29,0.9968902468681335,2303.0,Sakshi,321.0,1.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_9ICiGlI1K4,2021-10-23,-0.9950093030929564,2703.0,Sakshi,133.0,9.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7lkCK995VY,2021-10-23,-0.9823241233825684,1715.0,Sakshi,261.0,4.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_YK1tVgmXk,2021-10-23,-0.9982340335845948,4332.0,Sakshi,121.0,18.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDmVeQt5AFg,2021-10-23,-0.996278703212738,2551.0,Sakshi,221.0,11.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IzWnh96jswQ,2021-10-23,-0.9994718432426452,16110.0,Sakshi,142.0,37.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6NoT5GRDcAI,2021-10-26,-0.9994745850563048,8639.0,Sakshi,188.0,46.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xyz8aHVAobE,2021-11-03,0.9749488234519958,2858.0,Sakshi,314.0,7.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_MBsQot7ats,2021-11-03,0.979207456111908,4554.0,Sakshi,451.0,26.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iyTcK8jg4PE,2021-11-03,0.9943587183952332,6361.0,Sakshi,467.0,18.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWzm9-UiyL0,2021-11-10,0.6767442226409912,4232.0,Sakshi,331.0,6.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uq6Cmzopffs,2021-11-10,-0.9952109456062316,5475.0,Sakshi,349.0,15.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5JOExwhy-1I,2021-11-10,-0.9913827776908876,1565.0,Sakshi,129.0,5.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YeRH56spw2I,2021-11-10,-0.9974443912506104,518.0,Sakshi,110.0,2.0,kanigiri.png,Burra Madhu Sudhan Yadav,YSRCP,Kanigiri,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
