ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,yuvagalam,ap assembly session today,alliance,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
-sTC5B5NKkk,2022-11-03,-0.9984896183013916,3353.0,ABN,408.0,4.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV6ZzNkYY-o,2022-11-13,0.994045615196228,14660.0,Sakshi,203.0,59.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
Xo7F8qR7Fjk,2022-11-16,0.996969997882843,2641.0,Sakshi,291.0,16.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Nnh8JoAFg4E,2022-11-18,0.9947565793991088,40021.0,Sakshi,311.0,116.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OtMBi3BN_Jo,2022-11-19,0.9975799322128296,883.0,TV9,254.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
GYpo70Tya9U,2022-11-19,0.9986409544944764,397.0,TV9,254.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
D3gjB_gBOmc,2022-11-19,0.9986579418182372,5286.0,Sakshi,255.0,3.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
6EzYGsBSJ60,2022-11-19,0.99831885099411,921.0,TV9,490.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKYx9277yKc,2022-11-22,-0.993545949459076,883.0,ABN,150.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Uu_tpDyaKc0,2022-11-30,-0.9966456294059752,818.0,ABN,260.0,3.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0
iFc3nMMNlOQ,2022-11-30,0.9987882971763612,1454.0,Sakshi,260.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
WEegdhQwJag,2022-12-02,0.994401514530182,446.0,TV9,255.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
lKx1ccG25KA,2022-12-02,-0.9922129511833192,7501.0,ABN,289.0,5.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SEgfBsDDP68,2022-12-03,0.9957899451255798,91873.0,Sakshi,599.0,91.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nZWkdVN-2gE,2022-12-06,0.997351050376892,604.0,TV9,290.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QjRUYhYn8Dw,2022-12-10,-0.987823724746704,2971.0,TV9,243.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ur7i4kOoYas,2022-12-12,0.9920454025268556,1976.0,TV9,241.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DuukUtzuI_A,2022-12-14,0.9984619617462158,46521.0,TV9,330.0,143.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
Ub7W5wmEzcQ,2022-12-14,0.9983933568000792,17028.0,Sakshi,97.0,13.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
IFypGT_ytZM,2022-12-24,-0.9974550604820251,5873.0,Sakshi,252.0,11.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
