ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,ap employees,ap assembly session today,high court,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri,High Court
fn72pW9ziIc,2022-06-13,0.9948531985282898,136862.0,Sakshi,298.0,159.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0
7KWvlM2o2dQ,2022-06-15,0.9982810020446776,81579.0,Sakshi,135.0,119.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dABtdGKAYRQ,2022-07-21,0.9945202469825744,3816.0,Sakshi,538.0,6.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fg4VS0qjN1g,2022-08-17,-0.9660922288894652,3166.0,Sakshi,366.0,8.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
kL6IfJ35r9s,2022-08-26,-0.9972844123840332,5853.0,TV5,292.0,19.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
YUZMAxwfl3c,2022-08-27,0.9969124794006348,4103.0,TV5,385.0,7.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a4W_gQhUz2E,2022-08-27,-0.991664171218872,11166.0,TV5,322.0,51.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KCAeHgDNPB4,2022-08-28,0.997476041316986,2911.0,TV5,248.0,6.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
ywuGdGPPkso,2022-08-30,0.994429349899292,108792.0,Sakshi,294.0,450.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zB3vQ3kOa8g,2022-09-02,-0.9976218342781068,165076.0,TV5,303.0,104.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
yeJSWM3lsag,2022-09-09,-0.9984591007232666,11970.0,Sakshi,102.0,10.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eRTr4q2uXzI,2022-09-10,-0.9987112283706664,15995.0,Sakshi,140.0,51.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
U4AUfQeaBLU,2022-09-14,-0.9936357736587524,3678.0,TV5,300.0,2.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6LDzL0moB6Q,2022-09-18,0.9931352138519288,32144.0,TV5,193.0,51.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Fv-QQXPIiw4,2022-09-19,-0.9978153705596924,2703.0,TV5,340.0,4.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
Fhyt-ftnR8M,2022-10-10,0.9925280809402466,794.0,TV5,258.0,0.0,Nellimarla.png,Appalanaidu Baddukonda,YSRCP,Nellimarla,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
