ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,polavaram,yuvashakti,suprem court,ap development,tadipatri
xTmZdI02swQ,2022-11-29,-0.9873955845832824,8030.0,TV9,216.0,6.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O-vYSuJDjuE,2022-11-29,-0.990299105644226,2565.0,TV9,214.0,8.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Y0gURwLxnlk,2022-11-29,0.9702459573745728,2595.0,TV9,242.0,2.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mplwlL3vj9c,2022-11-30,-0.9987620115280152,2059.0,TV9,134.0,2.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1VnP9aElJ0,2022-11-30,-0.994565725326538,1423.0,ABN,373.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,1,1,1,0,0,1,0,0,1,1,0,1,0
JXDfwTA1pSI,2022-11-30,-0.9974310994148254,5892.0,TV9,243.0,5.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,1,1,0,0,0,0,0,0,0,0,1,0,1
yfCvdnk03rs,2022-11-30,-0.9986114501953124,4726.0,TV9,120.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA6tEq7xdR4,2022-12-01,0.994237184524536,808.0,TV9,170.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDCXCQODSow,2022-12-03,-0.9897229671478271,2322.0,TV9,99.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81soRvQzkG8,2022-12-03,-0.9956815242767334,1476.0,TV9,98.0,3.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Q2HlaaLJ5k,2022-12-05,-0.9957178235054016,685.0,TV5,322.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sWZXa8vqEg8,2022-12-12,-0.9988133907318116,3483.0,TV5,288.0,2.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LCVNt6u2YNY,2022-12-14,-0.9986923336982728,2240.0,ABN,280.0,10.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,1,0,0,0,0,0
pkQnaybmC8Q,2022-12-14,-0.9919992089271544,8746.0,ABN,395.0,54.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,1,0,0,1,0,0,1,0,0,0,1
yrcWzNMwWbU,2022-12-14,0.9913156032562256,53664.0,ABN,190.0,246.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,1,0,1,0,0,0,1,0
caVJ9sxM_bU,2022-12-15,0.9875767230987548,7162.0,Sakshi,279.0,29.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,1,0,0,1,0,0,1,0,0,1,0,0
IyIL8_FOuLs,2022-12-17,-0.9883793592453004,61980.0,Sakshi,501.0,88.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,1,1,1,0,1,0,0,0,0,0,1,0,0
