ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,janasena party,ap employees,ap assembly session today,alliance,ambati rambabu ,gudivada amarnath,polavaram,visakha, Botsa ,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,perni nani ,ap development,tadipatri,gudivada ,nandigama
8RBOtsxN_y0,2021-11-16,0.9892444610595704,13614.0,Sakshi,447.0,23.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
KALD0bm5qzU,2021-11-26,0.9956901669502258,123565.0,Sakshi,137.0,157.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id9IXnw1O2E,2021-12-13,-0.9971287846565248,11377.0,Sakshi,397.0,88.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eRK73vHgS_0,2022-02-03,-0.9984337687492372,4395.0,Sakshi,201.0,6.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-FYzI0LouIw,2022-02-06,-0.9949937462806702,3143.0,Sakshi,386.0,33.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lF2P4Ll-6-c,2022-02-18,-0.9988711476325988,62774.0,Sakshi,205.0,137.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-TkzObKqc4A,2022-02-26,0.9988574981689452,2433.0,Sakshi,168.0,4.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rEEV_JVEyrY,2022-02-26,0.9972202777862548,2688.0,Sakshi,173.0,13.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoTHz8p8ex8,2022-03-24,0.9887452721595764,237548.0,Sakshi,345.0,566.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bSEhCFJQaHs,2022-04-06,-0.9976909160614014,16500.0,Sakshi,328.0,103.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nJ_So7XTiMs,2022-04-11,-0.9983901977539062,2986903.0,Sakshi,60.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5WAvOhwxTU4,2022-04-11,0.993951976299286,21346.0,Sakshi,310.0,21.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
L4EEy631OWs,2022-04-11,0.987160325050354,2164196.0,Sakshi,165.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0bPxQ38hBmw,2022-04-14,0.9988009929656982,87599.0,Sakshi,312.0,91.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lDTS8nxGVzM,2022-04-16,0.9949790835380554,137414.0,Sakshi,405.0,123.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ks99X7TUqGg,2022-04-19,0.998596489429474,41175.0,Sakshi,210.0,23.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AS_mQOTHeqA,2022-04-22,0.998075008392334,2109.0,Sakshi,339.0,17.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Z0dQWkVcagk,2022-04-25,-0.997456967830658,7901.0,Sakshi,299.0,16.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
lYahkyijyDY,2022-04-29,-0.9987391829490662,427181.0,Sakshi,203.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9lxjoFPbj-Q,2022-05-11,0.9968329071998596,13149.0,Sakshi,86.0,30.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
