ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,tdp pattabhi,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
SK8lDk_Gji0,2022-02-15,0.9985613226890564,3414.0,Sakshi,213.0,6.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hSdz3GYL8QE,2022-02-19,-0.9980348944664,2522.0,Sakshi,298.0,6.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aaz9mGH49ws,2022-02-26,-0.9977987408638,3141.0,Sakshi,275.0,39.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I6Lm0rXe2oE,2022-03-18,0.9351696372032166,11640.0,Sakshi,86.0,27.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
o2orXjEPTVE,2022-04-04,0.9986820816993712,6871.0,Sakshi,217.0,29.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lDTS8nxGVzM,2022-04-16,0.9949790835380554,137414.0,Sakshi,405.0,123.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luXGBzvppQ4,2022-04-19,0.9977825284004213,17359.0,Sakshi,114.0,19.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HFV3KT6ED0Q,2022-04-22,0.9984114170074464,24882.0,Sakshi,466.0,237.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_gZuTct6g,2022-04-23,0.9928789734840392,4686.0,Sakshi,477.0,13.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExzTNjSqSBQ,2022-04-26,-0.9988844990730286,56694.0,Sakshi,212.0,121.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UD6GFS-Jjc4,2022-04-30,0.9983497858047484,35391.0,Sakshi,153.0,59.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
exd6OFRQASo,2022-04-30,-0.9979324340820312,80179.0,Sakshi,249.0,188.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB6hycePwaM,2022-05-21,0.9926068782806396,34987.0,Sakshi,560.0,70.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7bmPPMeUFo,2022-05-30,0.9988510608673096,72628.0,Sakshi,206.0,240.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4AJzF2oD6r0,2022-06-25,0.9971297383308412,893.0,Sakshi,439.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VQTGJUMDTmo,2022-07-08,0.9957383871078492,94165.0,Sakshi,535.0,119.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4pLmgovDjbU,2022-07-10,0.9862492680549622,588256.0,Sakshi,559.0,870.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S2v4Km6lBHI,2022-07-14,0.997380793094635,1730.0,Sakshi,234.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gceHQSUetxw,2022-07-23,0.9985484480857848,30523.0,Sakshi,400.0,59.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
EK5JjfolrGI,2022-07-26,0.9979507327079772,11626.0,Sakshi,240.0,29.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HSm-km6IFZY,2022-07-28,0.9976072311401368,2246.0,Sakshi,184.0,3.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3CvvyECktn8,2022-07-31,0.9980168342590332,5296.0,Sakshi,368.0,5.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3V8VUJXR77o,2022-08-09,-0.9683364033699036,73440.0,Sakshi,389.0,106.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dNiuhT4-oHA,2022-08-15,0.998556673526764,3244.0,Sakshi,331.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
S8TBMonMzvs,2022-08-26,-0.9993969202041626,1019.0,TV5,243.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fz8x4d5eE-w,2022-08-28,-0.9985082745552064,2346.0,TV5,251.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QpQO1FmWz6Y,2022-08-28,-0.997141420841217,8022.0,TV5,120.0,4.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OP2ZjQxO5dM,2022-08-31,-0.9965149164199828,2683.0,TV5,436.0,20.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZIj7Qh8Mo,2022-09-07,0.9942843317985536,1821.0,TV5,285.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pBAfeewsWnk,2022-09-12,-0.99949848651886,13183.0,TV5,140.0,25.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4jJ04P4Q5MA,2022-09-15,0.7717252373695374,16336.0,Sakshi,264.0,67.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-hArqS3fAz4,2022-09-16,0.9978833794593812,3254.0,Sakshi,246.0,18.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
EJGX9n9qhXg,2022-09-16,0.992572009563446,6145.0,Sakshi,515.0,7.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vHApOLG7WjQ,2022-09-17,0.9871161580085754,6977.0,Sakshi,155.0,8.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
gh0c8h9tXps,2022-09-17,-0.9971237778663636,8198.0,TV5,335.0,16.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pI3zf4dOKmQ,2022-09-21,-0.9892330169677734,4418.0,TV5,208.0,11.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
tmLW0BA2v64,2022-09-21,-0.9994800686836244,102307.0,TV5,310.0,111.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
DvPs4SuHu0U,2022-09-23,-0.9976547956466676,2350.0,TV5,240.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dLMi6H93L88,2022-09-26,-0.9902598261833192,5465.0,TV5,428.0,5.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T04E1Jg9ABw,2022-09-29,-0.9979336261749268,1298.0,TV5,213.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GVAnyxtXVYY,2022-10-02,-0.9825066924095154,78161.0,TV5,595.0,139.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
naoTZ0G-IQg,2022-10-07,-0.9830321073532104,2117.0,Sakshi,230.0,8.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ApIfJ7Umh7c,2022-10-07,-0.9992496371269226,1439.0,Sakshi,348.0,7.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4iuqQS-be4,2022-10-08,0.9919371604919434,46369.0,Sakshi,366.0,60.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e96ixxuY04k,2022-10-10,-0.9901390075683594,3521.0,Sakshi,444.0,11.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znv9msd-RTs,2022-10-11,0.9649925827980042,3649.0,ABN,375.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uBmpv1ylhd8,2022-10-11,0.9981908202171326,3908.0,ABN,530.0,8.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uwEeLXB_sVQ,2022-10-14,-0.9841719269752502,4886.0,ABN,325.0,10.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vnx2jtc905Q,2022-10-14,0.9980241060256958,941.0,Sakshi,169.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
mzZSKgsbNz4,2022-10-14,-0.9939034581184388,10725.0,ABN,435.0,11.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CpQmpyT9uz0,2022-10-16,-0.990810751914978,18353.0,TV5,435.0,28.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2CAaIt7dlEA,2022-10-18,-0.99510395526886,2386.0,ABN,230.0,11.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEOWEgZ8dUk,2022-10-19,0.9801293015480042,1359.0,TV5,255.0,3.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
h9hu0-xGNAE,2022-10-21,-0.995496153831482,275.0,ABN,248.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0
3Zj019Z55aw,2022-10-22,0.9926409125328064,1517.0,ABN,550.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lx-Sep9HXyc,2022-10-27,0.9935421943664552,441.0,ABN,272.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
bD77dLp8fTw,2022-10-29,0.998860001564026,3922.0,TV5,91.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
dvsbzIe1IJs,2022-10-31,-0.998304843902588,5276.0,Sakshi,113.0,18.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
ae9UTDFUaDY,2022-11-01,-0.998069703578949,7571.0,TV5,185.0,14.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
