ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,Gadapa Gadapaku ,Kuppam,janasena party,ap employees,ap assembly session today,jr ntr,YSRCP Plenary,alliance,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
vy1S10Zvx3U,2021-09-27,-0.9990707039833068,140360.0,Sakshi,523.0,597.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kl716JI5prc,2021-10-23,-0.9994192123413086,11875.0,Sakshi,393.0,60.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cZdgl0zEzzc,2021-10-25,0.9934565424919128,5201.0,Sakshi,571.0,19.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGNLKYftIQw,2021-10-25,-0.9500142931938172,981.0,Sakshi,194.0,10.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSS7L_k6EZA,2021-11-06,0.9977522492408752,3782.0,Sakshi,252.0,25.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2YmyOsX1Ps,2021-11-06,0.9979482293128968,2594.0,Sakshi,269.0,8.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AfAb4I9rcPQ,2021-11-12,-0.9979458451271056,2541.0,Sakshi,63.0,7.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
xNDAp7Pk5J8,2021-11-12,0.9892240166664124,5972.0,Sakshi,101.0,6.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rchoHAw6pz4,2021-11-15,0.9985713958740234,86819.0,Sakshi,321.0,134.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wdvUjPh5Nk0,2021-11-16,0.9966095685958862,7141.0,Sakshi,267.0,23.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NPZL9ylgxKU,2021-11-17,-0.991390347480774,13005.0,Sakshi,281.0,36.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nn0nBszzzBo,2021-11-17,0.9846044182777404,85136.0,Sakshi,169.0,139.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
L0aQc84DTJM,2021-11-17,0.9985668063163756,22183.0,Sakshi,411.0,26.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Hq2OYIVm9g,2021-11-18,0.9942095279693604,1014.0,Sakshi,428.0,6.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
xCeZnj-YZv0,2021-11-26,-0.98127543926239,4189.0,Sakshi,433.0,12.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1LZbXp1dD8,2021-12-04,0.9974738955497742,8286.0,Sakshi,547.0,71.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vVcsQmluW-U,2021-12-04,0.9952757358551024,3263.0,Sakshi,339.0,14.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hF3zf_er96k,2021-12-04,-0.9974150657653807,798.0,Sakshi,443.0,3.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4tkNoYn-kS0,2021-12-17,0.998431384563446,9977.0,Sakshi,265.0,26.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mN7KBP9RPUY,2021-12-20,0.9985285997390748,2953.0,Sakshi,109.0,3.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKPECTzDYQM,2021-12-24,0.9944644570350648,45404.0,Sakshi,202.0,267.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fk4Piv-puq8,2021-12-24,0.9813085198402404,248613.0,Sakshi,208.0,0.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DP6XprtoERE,2021-12-25,0.9988434314727784,3833.0,Sakshi,50.0,7.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lPw0ksnthv0,2022-01-17,0.9963839054107666,7215.0,Sakshi,259.0,12.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AhpEtRWPbzs,2022-02-04,-0.993474543094635,81466.0,Sakshi,413.0,194.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xLWlvvI5_vM,2022-02-05,0.9962711334228516,10532.0,Sakshi,295.0,19.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PfxOwKNsQpg,2022-02-05,0.9985848665237428,4492.0,Sakshi,258.0,18.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VYCWaf0Fk00,2022-02-12,0.9965984225273132,2578.0,Sakshi,248.0,9.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrf99guGAHI,2022-02-21,0.9963575005531312,23279.0,Sakshi,593.0,2.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_a8wT8Y0Ug,2022-02-21,0.993937373161316,39860.0,Sakshi,131.0,6.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
fOpHxTP7ods,2022-03-10,0.9899285435676576,29557.0,Sakshi,423.0,49.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
iaW7vr-GzqE,2022-03-10,-0.987644612789154,130143.0,Sakshi,334.0,536.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4S0-bAcTnkI,2022-03-10,-0.9991409778594972,113433.0,Sakshi,115.0,173.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
xcL0EJV4p8k,2022-03-21,-0.9966763257980348,118360.0,Sakshi,208.0,338.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1rNCOWYl-HE,2022-03-29,0.9955054521560668,9808.0,Sakshi,245.0,3.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1MDdmOPfkcA,2022-04-04,0.9986799359321594,31369.0,Sakshi,227.0,25.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
lw4hdUJG2wg,2022-04-07,0.9964847564697266,622390.0,Sakshi,163.0,0.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rJ34r_A3BQI,2022-04-11,0.9941904544830322,29002.0,Sakshi,313.0,34.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
nd8t42Nv0Ck,2022-04-12,0.9970189332962036,23357.0,Sakshi,194.0,16.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COxbu_XGHwc,2022-04-12,0.998494267463684,317988.0,Sakshi,131.0,0.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KHR_i5tNDFc,2022-04-13,-0.974925696849823,343886.0,Sakshi,148.0,733.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
B71bEzh02Rw,2022-04-13,0.998068392276764,20237.0,Sakshi,238.0,49.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vTvNvezxpR0,2022-04-13,-0.9984503984451294,52503.0,Sakshi,74.0,72.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RmfaQ_GBeuQ,2022-04-13,-0.9987288117408752,20732.0,Sakshi,186.0,21.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Tw0lWvJZMD4,2022-04-13,0.9975000023841858,24908.0,Sakshi,116.0,16.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeEzREjJPRE,2022-04-15,-0.9912113547325134,784834.0,Sakshi,297.0,698.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRtIUj7QtiY,2022-04-16,0.9964724779129028,68765.0,Sakshi,320.0,70.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ugp2YVsZiRE,2022-04-17,0.9971852898597716,101845.0,Sakshi,108.0,269.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA1krWGaSgM,2022-04-18,-0.997417688369751,8709.0,Sakshi,99.0,16.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY54emnyes,2022-04-19,-0.9911279678344728,72575.0,Sakshi,250.0,339.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yGWAXrxOuVM,2022-04-20,0.98977929353714,7118.0,Sakshi,125.0,13.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cppytqsoTAQ,2022-04-20,0.9986138343811036,54524.0,Sakshi,299.0,83.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jCO43UEoBYs,2022-04-20,-0.9986864924430848,111634.0,Sakshi,227.0,167.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKkIL967wE8,2022-04-26,-0.9873045086860656,93699.0,Sakshi,150.0,137.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1a62dfxkoAc,2022-04-26,-0.9967414736747742,21141.0,Sakshi,445.0,39.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rqfeoOT3RbE,2022-04-30,0.9988534450531006,118905.0,Sakshi,185.0,139.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ntni26Yl8uM,2022-04-30,0.9956462979316713,12152.0,Sakshi,201.0,57.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UD6GFS-Jjc4,2022-04-30,0.9983497858047484,35391.0,Sakshi,153.0,59.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OaD50q_NsBA,2022-05-06,0.9978183507919312,105911.0,Sakshi,387.0,207.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u5EGwl2izds,2022-05-11,0.9921444654464722,14265.0,Sakshi,90.0,58.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V2jasNdDw0M,2022-05-14,-0.9959900975227356,16562.0,Sakshi,156.0,47.0,nellore_city.png,Anil Kumar Poluboina,YSRCP,Nellore_city,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
