ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,gorantla ,polavaram,suprem court,butchaiah chowdary
vLGZAVj-WM0,2022-11-11,-0.9952074885368348,4489.0,TV5,271.0,2.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
O-vYSuJDjuE,2022-11-29,-0.990299105644226,2565.0,TV9,214.0,8.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,1,0,0,0,0,0,1,0
Y0gURwLxnlk,2022-11-29,0.9702459573745728,2595.0,TV9,242.0,2.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
xTmZdI02swQ,2022-11-29,-0.9873955845832824,8030.0,TV9,216.0,6.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
MNLKEe7FAt4,2022-11-29,-0.984067976474762,2026.0,TV9,273.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
ikw00_cpVMw,2022-12-02,-0.948876678943634,10464.0,TV5,386.0,18.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,1,0,1,0,0,1
NAFkSinfguA,2022-12-03,-0.9985402822494508,1373.0,ABN,567.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
ZL8_ct7RXVA,2022-12-03,0.9948309063911438,24074.0,ABN,573.0,21.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
iERXOAh85DY,2022-12-17,0.9890186786651612,2477.0,TV5,565.0,2.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,0,0,0,1,0,0,0,0,0
I0ZH7enGnFI,2022-12-21,-0.9908977150917052,2506.0,ABN,485.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
