ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,tadikonda.png,kalayan_durg.png,paturi_nagabhusnam.png
F638lWGuDcA,2023-04-04,237.0,1.0,618.0,-0.9949593544006348,Sakshi,4 MLAs Suspension,0,0,0,0
4bd8LSVMiuA,2023-03-24,226.0,168.0,32825.0,-0.9954978227615356,TV9,4 MLAs Suspension,1,0,0,0
slOouAlyMJg,2023-04-03,315.0,12.0,8874.0,-0.9905357956886292,ABN,4 MLAs Suspension,0,0,0,1
VdCXXfawmuo,2023-03-27,301.0,4.0,1419.0,0.9982141256332396,Sakshi,4 MLAs Suspension,0,0,0,0
hrHReCEcawg,2022-09-15,85.0,0.0,1072.0,-0.9981443881988524,TV5,4 MLAs Suspension,0,0,0,0
EPHzLasNoYA,2023-03-25,161.0,4.0,19533.0,-0.9956071972846984,TV9,4 MLAs Suspension,1,1,0,0
rLcQft1trpo,2022-11-03,144.0,11.0,4635.0,-0.999122440814972,ABN,4 MLAs Suspension,0,0,0,1
3PlWJ7Uinrs,2022-10-30,292.0,0.0,1009.0,0.9980093836784364,TV5,4 MLAs Suspension,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,4 MLAs Suspension,0,0,0,0
BvD1RL-tH_c,2022-10-28,312.0,1.0,486.0,-0.9983019828796388,ABN,4 MLAs Suspension,0,0,0,0
nDAuO0W3jlo,2023-03-27,248.0,6.0,36706.0,-0.9979428648948668,ABN,4 MLAs Suspension,0,0,0,0
u7a1ogUJG0s,2023-03-29,208.0,16.0,160035.0,0.990617334842682,TV9,4 MLAs Suspension,0,0,0,0
lp25Wy-p97g,2023-04-14,119.0,14.0,9460.0,-0.990884006023407,Sakshi,4 MLAs Suspension,0,0,1,0
c9vAcwXpPmY,2023-03-25,133.0,199.0,103530.0,0.995855152606964,Sakshi,4 MLAs Suspension,0,0,0,0
H-hp9yFnaHo,2022-10-27,197.0,6.0,2590.0,-0.9915215969085692,ABN,4 MLAs Suspension,0,0,0,0
WmsrTO65DSo,2022-10-27,336.0,0.0,395.0,-0.9968599081039428,ABN,4 MLAs Suspension,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,4 MLAs Suspension,0,0,0,0
-Cz6LLTnZHc,2023-03-24,341.0,5.0,6784.0,-0.9985455274581908,ABN,4 MLAs Suspension,0,0,1,0
J1rxTXtpYzA,2023-03-15,122.0,6.0,3576.0,-0.9978938698768616,Sakshi,4 MLAs Suspension,0,0,0,0
nqbQBsJ3NGo,2022-03-29,232.0,42.0,18519.0,-0.9988645315170288,Sakshi,4 MLAs Suspension,0,0,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,4 MLAs Suspension,0,0,0,0
drOOEv44jzc,2023-04-02,139.0,123.0,72906.0,-0.9946709275245668,Sakshi,4 MLAs Suspension,0,0,0,0
FILt4s6x-YU,2023-03-16,210.0,2.0,1380.0,-0.998230755329132,TV5,4 MLAs Suspension,0,0,0,0
UBQODC1t-1Y,2023-03-24,121.0,29.0,6857.0,-0.9987347722053528,TV9,4 MLAs Suspension,0,0,0,0
iY0a5I9rQe0,2023-03-24,106.0,2.0,2518.0,-0.9914724230766296,TV9,4 MLAs Suspension,1,1,0,1
jHkwDywxXJQ,2023-03-25,262.0,5.0,9773.0,-0.997967541217804,TV9,4 MLAs Suspension,1,1,0,0
TxEKw4sFr_Q,2023-03-25,165.0,28.0,24377.0,-0.9953455328941344,TV5,4 MLAs Suspension,0,0,0,0
jZKkGkpRz-Q,2023-03-23,179.0,229.0,356954.0,-0.9932836294174194,TV5,4 MLAs Suspension,0,0,0,0
4xoTNAzhOJI,2022-10-28,126.0,2.0,1404.0,-0.9983982443809508,TV5,4 MLAs Suspension,0,0,0,0
5ArLwILhPe0,2023-03-26,289.0,17.0,3775.0,0.9978002905845642,TV9,4 MLAs Suspension,0,1,0,0
pUq1H8zsHJw,2023-03-24,356.0,67.0,26145.0,-0.996908962726593,TV9,4 MLAs Suspension,1,1,0,0
VdyzOsvRfpk,2023-03-29,303.0,68.0,40450.0,-0.9964680671691896,Sakshi,4 MLAs Suspension,0,0,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,4 MLAs Suspension,0,0,0,0
m9sahucDBT4,2022-10-27,257.0,2.0,2202.0,0.9942208528518676,TV5,4 MLAs Suspension,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,4 MLAs Suspension,0,0,0,0
JfkxvDFtmMk,2022-10-28,345.0,1.0,6091.0,0.9955297112464904,TV5,4 MLAs Suspension,0,0,0,0
LGgDazauDZw,2023-02-07,151.0,0.0,723.0,-0.9987326264381408,ABN,4 MLAs Suspension,0,0,0,0
_2LZoaLQOMA,2023-03-07,310.0,2.0,1458.0,-0.9976365566253662,TV5,4 MLAs Suspension,0,0,0,0
G-7ic9Ekl3U,2022-12-30,143.0,0.0,2076.0,-0.9962725639343262,ABN,4 MLAs Suspension,0,0,0,0
FovKdE2y91I,2023-03-26,228.0,8.0,133910.0,-0.998104453086853,TV9,4 MLAs Suspension,0,0,0,0
aJEybZf4QW8,2023-04-03,237.0,1.0,40065.0,-0.9979047775268556,TV9,4 MLAs Suspension,0,0,0,0
Lm4SdataqhA,2023-03-23,224.0,4.0,6692.0,-0.9985639452934264,TV5,4 MLAs Suspension,0,0,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,4 MLAs Suspension,0,0,0,0
iQctr-zMc7E,2022-11-24,166.0,2.0,298.0,-0.9970055222511292,TV5,4 MLAs Suspension,0,0,0,0
NzWNSglnuGo,2023-03-10,245.0,1.0,849.0,-0.9986869692802428,ABN,4 MLAs Suspension,0,0,0,0
pkXunQqZuj4,2023-03-27,97.0,16.0,8343.0,-0.9974597096443176,TV5,4 MLAs Suspension,0,0,1,0
qS1n0Ky8GvA,2022-06-02,139.0,71.0,198959.0,-0.9978798627853394,Sakshi,4 MLAs Suspension,0,0,1,0
RpnzmFE-kSs,2022-10-28,312.0,0.0,873.0,-0.9990861415863036,TV5,4 MLAs Suspension,0,0,0,0
5A-D5P_HgZQ,2023-04-03,335.0,8.0,9147.0,-0.9987114667892456,ABN,4 MLAs Suspension,0,0,0,0
_d6uVptzQ9o,2023-04-08,334.0,7.0,55025.0,-0.999275267124176,ABN,4 MLAs Suspension,0,0,0,0
YDN_nTnf080,2023-03-24,157.0,23.0,35613.0,-0.9973307847976683,TV9,4 MLAs Suspension,1,0,0,0
cW1Lav7XmBQ,2023-04-03,205.0,17.0,21990.0,-0.9991307854652404,ABN,4 MLAs Suspension,0,0,0,0
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,4 MLAs Suspension,0,0,0,0
9DFSpsjG0L4,2023-03-18,319.0,0.0,460.0,-0.9961737990379332,ABN,4 MLAs Suspension,0,0,0,0
sDpUUpRKKHk,2023-03-29,113.0,21.0,6438.0,-0.9978086352348328,TV9,4 MLAs Suspension,0,0,0,0
bpS4uXH78mk,2022-10-27,222.0,0.0,880.0,-0.998753547668457,TV5,4 MLAs Suspension,1,0,1,0
jUDagebyEaI,2023-03-24,323.0,22.0,13423.0,-0.9994412064552308,TV9,4 MLAs Suspension,1,0,0,1
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,4 MLAs Suspension,0,0,0,0
DxGaVAqzics,2023-03-25,89.0,6.0,5238.0,-0.9979193806648254,TV5,4 MLAs Suspension,0,0,0,0
O1Gtz0FNJV8,2023-03-27,227.0,2.0,855.0,0.9969026446342468,Sakshi,4 MLAs Suspension,0,0,0,0
vPNr3zXAOXc,2023-03-24,238.0,2.0,3318.0,-0.9979178309440612,ABN,4 MLAs Suspension,0,0,0,0
mCz-3VIhk-k,2023-03-13,283.0,1.0,3289.0,-0.9967034459114076,ABN,4 MLAs Suspension,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,4 MLAs Suspension,0,0,0,0
UiSe2xm7vE8,2023-03-24,267.0,19.0,9035.0,0.9911841750144958,TV9,4 MLAs Suspension,1,1,0,1
K_cDAw1Cyqc,2023-03-27,181.0,4.0,1004.0,-0.9988633394241332,Sakshi,4 MLAs Suspension,0,0,0,0
g_eFDBJCO2Y,2023-03-24,218.0,4.0,48623.0,-0.9929717183113098,TV9,4 MLAs Suspension,0,0,0,0
G_6-JQ8G5oA,2022-01-29,304.0,211.0,112256.0,-0.9929678440093994,Sakshi,4 MLAs Suspension,0,0,0,0
up7VjhttT2I,2023-03-27,307.0,3.0,10274.0,-0.9987093210220336,ABN,4 MLAs Suspension,0,0,1,0
AmNg5SJlNOE,2023-03-16,155.0,1.0,930.0,-0.998840034008026,ABN,4 MLAs Suspension,0,0,0,1
x8Y2-G_i1gk,2023-03-24,141.0,0.0,5045.0,-0.9964291453361512,TV9,4 MLAs Suspension,0,0,0,0
dAVbLrYfXLE,2023-03-27,309.0,4.0,5563.0,-0.9944221377372742,TV9,4 MLAs Suspension,1,1,1,0
jCyqACU3Jz4,2022-10-27,305.0,1.0,1905.0,-0.9979907274246216,TV5,4 MLAs Suspension,0,0,0,0
nX7TIFPH090,2023-03-24,175.0,11.0,17642.0,-0.9979720711708068,TV5,4 MLAs Suspension,0,0,0,0
CshW9eHDa90,2023-03-25,192.0,53.0,42110.0,-0.9791485071182252,Sakshi,4 MLAs Suspension,0,0,0,0
0q4-DZlTpaY,2023-03-26,83.0,1.0,2951.0,-0.9980629086494446,TV9,4 MLAs Suspension,1,1,0,0
oNBUAjLfA5k,2023-04-03,208.0,0.0,17435.0,-0.9992707371711732,TV9,4 MLAs Suspension,0,0,0,0
MDxwE4E9F1w,2023-03-10,278.0,0.0,465.0,-0.9912319779396056,ABN,4 MLAs Suspension,0,0,0,0
M7Q1MPI4_b8,2023-01-02,320.0,19.0,10902.0,-0.992016077041626,ABN,4 MLAs Suspension,0,0,1,1
5JfY7owYgCw,2023-03-26,254.0,25.0,8424.0,-0.9992051720619202,TV5,4 MLAs Suspension,0,1,1,0
wYPbxmDqfPs,2023-03-27,327.0,1.0,1716.0,-0.9989073276519777,TV9,4 MLAs Suspension,0,0,0,0
axfxOXneLYg,2023-03-25,132.0,35.0,47649.0,-0.9942460656166076,ABN,4 MLAs Suspension,1,0,0,1
nd9kPQugdGQ,2023-03-27,187.0,20.0,3153.0,-0.9892237782478333,Sakshi,4 MLAs Suspension,0,0,0,0
h3_mxdlJ0fs,2023-02-28,220.0,0.0,10351.0,-0.999458372592926,ABN,4 MLAs Suspension,0,0,0,0
sE_g0pHidA8,2023-04-03,255.0,38.0,20351.0,-0.9980803728103638,TV5,4 MLAs Suspension,0,0,0,0
9NRG0amURDc,2022-11-16,315.0,3.0,3689.0,-0.9978150129318236,ABN,4 MLAs Suspension,0,0,0,0
jfhn75Il6go,2023-04-03,312.0,3.0,3721.0,-0.9629538655281068,TV5,4 MLAs Suspension,0,0,0,0
P_4Cd19QDps,2023-03-17,211.0,120.0,63492.0,-0.99787175655365,TV9,4 MLAs Suspension,0,0,0,0
I1cmw8ivzDk,2023-03-24,205.0,78.0,74429.0,-0.9980898499488832,ABN,4 MLAs Suspension,0,0,0,0
dyHbFQFMN0w,2023-03-23,295.0,0.0,2741.0,-0.988595187664032,ABN,4 MLAs Suspension,0,0,0,0
37097lx0syo,2023-03-24,280.0,4.0,1285.0,0.9892577528953552,TV9,4 MLAs Suspension,0,0,0,0
ApwKFvDQ4w4,2023-03-16,177.0,3.0,111553.0,-0.997632384300232,TV9,4 MLAs Suspension,0,0,0,0
Ya2oTPToyKk,2023-03-28,83.0,2.0,1754.0,-0.9453631639480592,TV9,4 MLAs Suspension,0,0,0,0
Hhyx1DsrK0w,2023-03-25,76.0,8.0,8853.0,0.9969268441200256,TV5,4 MLAs Suspension,1,0,0,0
eRPcijnKojA,2023-03-24,181.0,8.0,3439.0,-0.9116970300674438,TV9,4 MLAs Suspension,1,0,0,0
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,4 MLAs Suspension,0,0,0,0
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,4 MLAs Suspension,0,0,0,0
evZOXxRnfnY,2023-03-15,310.0,1.0,1007.0,-0.9978380799293518,TV9,4 MLAs Suspension,0,0,0,0
3NqcDLzUp18,2022-10-31,215.0,1.0,473.0,-0.9878717660903932,TV5,4 MLAs Suspension,0,0,0,0
ojj-7OEp3jw,2022-09-16,180.0,5.0,3138.0,0.9492734670639038,Sakshi,4 MLAs Suspension,0,0,0,0
fPGl6R0yLh8,2023-03-01,268.0,0.0,1848.0,0.9985398054122924,TV9,4 MLAs Suspension,0,0,0,0
8SVtPWLtRGA,2023-03-27,120.0,16.0,3141.0,0.998017430305481,Sakshi,4 MLAs Suspension,0,0,0,0
EJ2ZH5kXNXk,2023-03-27,220.0,35.0,41768.0,-0.9994010925292968,TV5,4 MLAs Suspension,0,0,0,0
Hlyz5vmqQn0,2023-04-19,275.0,0.0,1271.0,-0.993196964263916,TV5,4 MLAs Suspension,0,0,0,0
JL9GxJ2bAcM,2022-11-04,386.0,0.0,553.0,-0.9981464147567748,TV5,4 MLAs Suspension,0,0,0,0
aBgpmT_bIN0,2023-03-26,400.0,15.0,7163.0,-0.9974912405014038,Sakshi,4 MLAs Suspension,0,0,0,0
cz4rrOgZ__w,2023-03-28,125.0,3.0,2219.0,-0.9963653087615968,Sakshi,4 MLAs Suspension,0,0,0,0
r6e2DkKcByM,2023-03-27,333.0,3.0,695.0,-0.9525868892669678,TV9,4 MLAs Suspension,0,0,0,0
vlSMwdVYVTg,2023-03-28,158.0,5.0,4052.0,-0.9993094205856324,TV5,4 MLAs Suspension,1,0,0,0
OdjxJIxV1R4,2023-04-03,275.0,2.0,4948.0,0.9984136819839478,ABN,4 MLAs Suspension,0,1,1,0
4tzlnTnqH1o,2023-03-27,155.0,13.0,2939.0,-0.9836357235908508,TV9,4 MLAs Suspension,0,0,0,0
rTV8Mwa2Ihs,2023-03-25,230.0,33.0,43734.0,-0.9981541037559508,ABN,4 MLAs Suspension,0,0,0,0
