ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,gajapathinagram.png,penamaluru.png,Rajam.png,pulivendula.png,kanigiri.png,kalayan_durg.png,kaikuluru.png,madugula.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tuni.png,rayachoti.png,pamarru.png,nandikotkur.png,tadepalligudem.png,tekkali.png,denduluru.png
LRaHQd9yVj0,2022-11-20,255.0,2.0,571.0,-0.999464213848114,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0W26tRjhy3Y,2020-03-09,26.0,1.0,773.0,0.9943899512290956,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wPtCKiIa1yQ,2022-12-15,178.0,2.0,28337.0,-0.9875925183296204,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBEnjMJToio,2021-02-17,699.0,185.0,232965.0,-0.9964312314987184,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0p4MlJB39fo,2022-12-18,74.0,0.0,2477.0,-0.9612033367156982,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-MUw6-dN95s,2022-08-29,78.0,0.0,2425.0,-0.9948714971542358,TV5,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XOPfDYWxqQ8,2023-01-05,176.0,1.0,10103.0,-0.9887650012969972,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CqMgmVZMRKg,2022-11-03,206.0,1.0,2250.0,-0.909401834011078,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svcHCPXoQqw,2021-02-21,290.0,0.0,1276.0,0.9947894811630248,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bsUZQL3k-A,2022-06-25,342.0,752.0,273483.0,-0.998040735721588,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3qhsAAQF8s,2021-02-17,136.0,3.0,6703.0,0.99862539768219,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qomk_Mobhh8,2022-10-17,200.0,1.0,3073.0,-0.9986281394958496,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-rsRB2l9L2g,2023-03-10,301.0,6.0,6050.0,0.9983635544776917,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6F-PeGv64pQ,2023-01-11,210.0,2.0,3669.0,-0.9900152087211608,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbr56gbmJgk,2021-02-18,184.0,4.0,22482.0,0.9981344938278198,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kFnQHWd62Yk,2023-02-08,178.0,2.0,4987.0,-0.9839617013931274,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89JtFmfs2us,2023-01-09,262.0,3.0,2803.0,-0.9879240393638612,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rAZ-a6D1K9k,2021-02-13,103.0,2.0,3578.0,0.997474730014801,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-fRwqLOz4o,2021-02-16,303.0,59.0,62814.0,-0.9886821508407592,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uEtZmcVfg64,2022-11-09,265.0,4.0,3148.0,-0.9986236095428468,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
vNbcsvEVcOQ,2021-02-17,232.0,2.0,8022.0,0.9964532852172852,Sakshi,panchayat elections,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HZFc8qj4OXg,2021-02-21,218.0,0.0,1684.0,0.9983024597167968,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs_Xxr6fyek,2023-01-29,178.0,0.0,2351.0,-0.9985361099243164,TV9,panchayat elections,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2mKJy2NRxEE,2022-11-17,309.0,28.0,11790.0,0.9933423399925232,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
