ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,venkatagiri.png,pulivendula.png,kalayan_durg.png,pedana.png
EOysDQxrdL4,2022-12-06,238.0,6.0,6905.0,0.9933496117591858,Sakshi,Jayaho BC,0,0,0,0,0
YCrjpnfYDwc,2022-12-07,505.0,9.0,2565.0,-0.9994823932647704,ABN,Jayaho BC,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Jayaho BC,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Jayaho BC,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Jayaho BC,0,0,0,0,0
ZuLC5tS8Vv0,2022-12-06,11805.0,1.0,6921.0,0.9952749013900756,ABN,Jayaho BC,0,0,0,0,0
XZmMWCEBfGs,2022-12-10,295.0,6.0,11632.0,-0.988419771194458,Sakshi,Jayaho BC,0,0,0,0,0
puddiFdv9gU,2022-12-08,375.0,53.0,39285.0,-0.9943637847900392,TV5,Jayaho BC,0,0,0,0,0
QJ41VyNYGmE,2022-12-07,360.0,2.0,3725.0,0.997538447380066,TV9,Jayaho BC,0,1,1,0,0
CYtoJFbbs8o,2022-12-07,148.0,25.0,4479.0,0.9910253286361694,TV9,Jayaho BC,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Jayaho BC,0,1,0,0,0
bhbBayBfIss,2022-12-07,228.0,2.0,953.0,0.9979808926582336,Sakshi,Jayaho BC,1,0,0,0,1
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Jayaho BC,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Jayaho BC,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,Jayaho BC,0,0,0,0,0
zuXp1sED1UY,2022-12-07,15105.0,51.0,150654.0,0.9971721768379213,Sakshi,Jayaho BC,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,Jayaho BC,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,Jayaho BC,0,0,0,0,0
gWoVnGETSiU,2022-12-06,199.0,2.0,889.0,-0.8408086895942688,TV9,Jayaho BC,0,0,1,0,0
o0v9zrUJcSY,2022-12-21,52.0,0.0,1007.0,0.9983786344528198,TV9,Jayaho BC,0,0,0,0,0
KopmVsSx99E,2022-12-07,203.0,42.0,40768.0,0.998368203639984,Sakshi,Jayaho BC,0,0,1,0,0
9YZvcHUGApE,2022-12-08,226.0,18.0,8889.0,-0.9994656443595886,TV5,Jayaho BC,0,0,1,0,0
JBa1D1x5yVQ,2022-12-07,409.0,12.0,8692.0,0.9903033375740052,Sakshi,Jayaho BC,0,0,0,1,0
MCKbaHt6bbw,2022-12-07,14977.0,3.0,14181.0,0.9971888661384584,ABN,Jayaho BC,0,0,0,0,0
