ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,venkatagiri.png,narsapuram_l.png,ankapalle.png,pulivendula.png,murali_krishna.png,nandyal.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png
dLnXVrqg6B0,2023-02-17,273.0,1.0,10215.0,0.9953935146331788,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
PGlaXj69qmU,2023-01-12,101.0,5.0,1903.0,0.998251974582672,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
F3Jeq5XXpok,2023-01-31,95.0,0.0,1264.0,-0.9994447827339172,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
YqJiRua_3Ag,2023-03-08,56.0,138.0,102307.0,-0.9893233180046082,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
r-YPV8v9p_o,2022-12-20,54.0,5.0,12587.0,0.9964787364006042,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
zuDxYY5Tbnk,2023-03-04,616.0,10.0,3348.0,0.9978058934211732,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
uKC9hRUzuwk,2023-03-03,212.0,58.0,39084.0,0.9970036149024964,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
zFZMm2ABabA,2023-03-04,64.0,29.0,65403.0,0.9956811666488647,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
BVOZGx7Vids,2023-01-31,5536.0,8.0,23107.0,0.997356653213501,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
eJlzb49PucQ,2023-01-11,270.0,0.0,563.0,0.9971885085105896,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
pJOO4WFMqkk,2023-01-31,260.0,17.0,9042.0,-0.9975263476371764,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
tpT4LiMQaQQ,2023-03-03,155.0,109.0,130264.0,0.9979115128517152,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,1,1
-Opm8E7jAoQ,2023-03-04,118.0,88.0,99561.0,0.9988096952438354,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
6PWsBoD1Enc,2023-03-03,1043.0,178.0,38767.0,0.997583031654358,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
7DkGEHF5Nco,2023-01-11,270.0,1.0,416.0,0.9984341263771056,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
-UgcI1MY6YQ,2023-03-05,656.0,9.0,5638.0,-0.996651828289032,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
_7e2tPTGjhU,2022-08-24,183.0,2.0,643.0,0.9960552453994752,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
jDpmD96stZY,2023-03-08,493.0,3.0,2023.0,0.9985353946685792,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
jLSrZeiCbIo,2023-02-27,99.0,2.0,7835.0,0.9768084287643432,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
7ti8zbkihQc,2023-03-15,3366.0,77.0,16372.0,0.998654007911682,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
CbCxLzAnBGQ,2023-03-07,59.0,13.0,25144.0,0.9975748658180236,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
Ob9rk0IzNzc,2023-03-05,186.0,17.0,1734.0,0.9986836314201356,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
GNnUEKixg68,2023-01-31,177.0,4.0,7063.0,-0.995276927947998,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
IN0irmrXb8I,2023-03-03,321.0,45.0,4833.0,0.9974356293678284,Sakshi,investors summit,0,0,0,0,1,0,0,1,0,0,0
wxctMlHXZtg,2022-10-15,135.0,17.0,3765.0,0.9941283464431764,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
0v7fZwuuomU,2023-03-07,497.0,38.0,13871.0,0.9984664916992188,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
6TVHssg0MNw,2023-03-03,865.0,23.0,8489.0,0.9932782053947448,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
ZciLHTUqayg,2023-03-07,353.0,17.0,8725.0,0.9976276755332948,Sakshi,investors summit,0,0,0,0,0,1,0,0,0,0,0
_eQKvbdMDu4,2023-03-03,280.0,8.0,3393.0,0.9945710301399232,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
iAdlFGAmAEg,2023-03-12,352.0,14.0,6535.0,-0.9952942728996276,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
2B04hMrCqZU,2023-03-18,3450.0,21.0,2204.0,0.9968258142471312,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
qWTmJYb9Bp0,2022-12-12,329.0,0.0,2216.0,0.9980493783950806,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
vQQCz5OJBQ8,2023-03-04,267.0,192.0,106001.0,-0.9819321632385254,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
X0YB8ATFYJE,2023-03-04,101.0,23.0,35828.0,0.9975175857543944,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
YYBIyABEG6A,2022-12-02,119.0,2.0,1075.0,0.997732639312744,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
8CNsN6x85XA,2023-03-02,327.0,83.0,57170.0,0.9988415837287904,Sakshi,investors summit,0,0,0,0,0,1,0,0,0,0,0
BNMuB_fj_qo,2023-03-03,98.0,61.0,75008.0,0.9987403750419616,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
JVMUxURjS4o,2022-07-31,216.0,35.0,3541.0,0.9774336218833924,Sakshi,investors summit,0,0,0,0,1,0,0,0,0,0,0
B06Vdqy1emg,2023-03-05,153.0,10.0,1247.0,0.9985070824623108,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
iXYOtZpJuI4,2023-01-31,638.0,33.0,8739.0,0.99822598695755,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
1y_FrD9Yi5c,2023-03-03,220.0,42.0,5093.0,0.9850672483444214,ABN,investors summit,0,0,0,1,0,0,0,0,0,0,0
bnqzISNH-TE,2023-01-08,317.0,1.0,1495.0,0.9984713196754456,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
POo2AifXrzk,2022-05-14,297.0,4.0,3940.0,0.9914150834083556,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
vR_e2Gwk06E,2023-03-10,266.0,2.0,2839.0,0.9878528118133544,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
l11AcS5PcyA,2023-03-04,171.0,1.0,4196.0,0.998063027858734,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
YKQ8Sp1k9vc,2023-03-03,383.0,24.0,5639.0,-0.9990730285644532,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
4ycax1n2zVs,2023-03-03,472.0,21.0,19285.0,0.9942638278007508,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
qrwKzfrwnoI,2023-03-05,12980.0,2.0,13406.0,0.9960011839866638,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
u5DlMIz5zSg,2023-03-03,299.0,36.0,8883.0,-0.9981665015220642,ABN,investors summit,0,0,0,1,0,0,0,0,0,0,1
3LHZlmbsy6U,2023-03-02,162.0,74.0,104621.0,0.996826708316803,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
5PbFERxnKPA,2023-03-03,188.0,5.0,4252.0,0.9966816306114196,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
Rzi5Ft6qJUw,2023-03-03,311.0,2.0,1830.0,0.9980313181877136,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
XjTTZrIK8QQ,2023-03-05,199.0,3.0,1693.0,0.9975175857543944,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
lXw44H_uR4M,2023-03-16,260.0,5.0,3076.0,-0.9984886646270752,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
jKlqg_JINpM,2023-03-06,273.0,5.0,2746.0,-0.9978106617927552,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
bZ27VIRaXbc,2023-03-03,363.0,3.0,4269.0,0.9972081780433656,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
ORfsO9Qbv2w,2023-03-04,947.0,3.0,1953.0,0.9962640404701232,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
h16C8gqw-W8,2023-03-09,215.0,4.0,718.0,-0.998111128807068,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
kuGpL3Qm3-o,2023-03-05,265.0,21.0,8412.0,-0.9900904893875122,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
0qM8X_vhFGU,2023-03-03,320.0,19.0,7827.0,0.9923635721206664,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
op7876b-pWc,2023-03-08,280.0,134.0,46696.0,-0.981295883655548,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,1
SfpAI1ycAuk,2023-03-06,553.0,7.0,2601.0,0.9924579858779908,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
JZR0VBihCYc,2023-03-31,266.0,1.0,942.0,0.995534896850586,TV9,investors summit,1,1,1,0,0,0,1,0,0,1,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
cqi7MHhCbRc,2023-03-04,13.0,37.0,44318.0,0.9986940026283264,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
AHLuO40Tanw,2023-03-02,261.0,3.0,6929.0,-0.9984551668167114,TV9,investors summit,0,1,1,0,0,0,1,0,0,0,0
4n5aP75hc3k,2023-03-05,327.0,14.0,9168.0,0.9987439513206482,Sakshi,investors summit,1,0,0,0,1,0,0,0,0,1,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,investors summit,1,1,0,0,0,0,0,0,0,0,0
dLE38Mjup6c,2023-03-06,375.0,17.0,5999.0,-0.9979007244110109,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
PRx9VAlm3B0,2023-03-04,30.0,1.0,804.0,0.99672532081604,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
aS-y8OD9gIw,2023-03-02,1004.0,26.0,17208.0,0.9966777563095092,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
sb_wPtLd7oE,2023-02-28,104.0,3.0,595.0,-0.9992859959602356,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
tCio4P3WF4o,2023-01-31,417.0,3.0,2946.0,0.9969000816345216,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
r9RxQ-FeGbY,2023-03-06,235.0,3.0,1254.0,-0.999500036239624,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
Bbu6ckJ_zO0,2023-03-04,396.0,51.0,34358.0,0.9982234835624696,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
vAwY9f7C66I,2023-03-03,235.0,1.0,1673.0,0.9973165392875672,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
SFwxYQM7Cwk,2023-03-03,320.0,0.0,2950.0,0.994382619857788,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
7GF3AfzEm3M,2022-10-17,286.0,13.0,7511.0,0.998458981513977,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
JtuelIOeUUM,2023-03-03,201.0,47.0,22341.0,0.9976232647895812,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
bN8yHyOe6-U,2023-03-03,223.0,2.0,2047.0,0.9914780259132384,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,investors summit,0,0,1,0,0,0,0,0,0,1,0
stTjrsmBQsY,2023-03-04,407.0,32.0,10570.0,-0.9979604482650756,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
fyr2YeBVDIM,2023-03-04,199.0,21.0,4677.0,0.9970869421958924,Sakshi,investors summit,0,0,0,0,0,0,0,0,1,0,0
KoSmGZQEg0k,2023-03-06,885.0,30.0,10368.0,0.9966201782226562,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
AqbhLV_SUUE,2023-02-28,219.0,1.0,25099.0,-0.9975342750549316,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
DJx-Uk-HFgM,2023-03-04,131.0,7.0,3224.0,-0.9696271419525146,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
IxKe9la-87U,2023-03-17,299.0,2.0,1223.0,0.998814582824707,Sakshi,investors summit,1,1,1,0,0,0,0,0,0,0,0
g4mbmywWF4Y,2023-03-22,252.0,4.0,3192.0,0.9973052740097046,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
6ntIGDeE-Vg,2023-03-03,283.0,9.0,2908.0,0.9985752105712892,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
JL7KIlN7V8Y,2023-03-03,212.0,0.0,1572.0,0.9987062215805054,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
