ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kakinada.png,palakollu.png,pulivendula.png,vishakapatnam_south.png
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,borugadda anil kumar,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,borugadda anil kumar,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,borugadda anil kumar,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,borugadda anil kumar,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,borugadda anil kumar,0,0,0,0
OPNncPL5-Po,2023-02-14,299.0,3.0,3051.0,-0.997239112854004,ABN,borugadda anil kumar,0,0,0,0
qY4X7EbZlOE,2023-02-07,510.0,433.0,231385.0,0.9959657192230223,TV5,borugadda anil kumar,0,0,1,0
PNmzgMMrv3I,2023-02-07,42898.0,16.0,132679.0,-0.9928935170173644,ABN,borugadda anil kumar,0,0,0,0
DvrHLLsUzqY,2022-04-27,199.0,13.0,4011.0,0.997844696044922,Sakshi,borugadda anil kumar,0,0,1,0
JYz67drMG-I,2023-02-07,67.0,6.0,2306.0,-0.998422384262085,ABN,borugadda anil kumar,0,0,0,0
fn72pW9ziIc,2022-06-13,298.0,159.0,136862.0,0.9948531985282898,Sakshi,borugadda anil kumar,1,0,0,0
wXNIFuI8tk8,2023-02-07,61.0,50.0,14193.0,-0.9715512990951538,TV5,borugadda anil kumar,1,1,0,1
1HVbSJGdn30,2023-02-07,145.0,177.0,93054.0,-0.9989722967147828,TV5,borugadda anil kumar,0,0,0,0
mWZlzE6_vyk,2023-02-18,268.0,0.0,591.0,0.996601700782776,ABN,borugadda anil kumar,0,0,0,0
cs4pxsb7ZZA,2023-02-14,10965.0,26.0,40500.0,0.9968243837356568,TV5,borugadda anil kumar,0,0,0,0
aWEbRFtIm2Y,2022-11-29,143.0,23.0,25068.0,-0.9974823594093324,TV9,borugadda anil kumar,0,0,0,0
3_09BPW99Aw,2021-02-18,240.0,9.0,18811.0,-0.997835338115692,Sakshi,borugadda anil kumar,0,0,0,0
nxdLE9ME1lg,2023-04-09,61.0,1.0,623.0,0.998243808746338,TV9,borugadda anil kumar,0,0,0,0
LuEzjdPnwL4,2023-02-04,599.0,6.0,3214.0,-0.9917791485786438,TV9,borugadda anil kumar,0,0,0,0
kcQJsFrgm3M,2023-02-08,88.0,11.0,24810.0,-0.9968222379684448,TV5,borugadda anil kumar,0,0,0,0
eGSP2qgsK10,2023-04-12,171.0,2.0,1544.0,0.9880869388580322,TV9,borugadda anil kumar,1,0,0,0
AOTGE8b3IEo,2023-02-07,69.0,10.0,1877.0,-0.9963415265083312,ABN,borugadda anil kumar,0,1,0,1
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,borugadda anil kumar,0,0,0,0
r1vG0ta9Pzk,2022-10-17,51.0,0.0,4737.0,0.9987277388572692,ABN,borugadda anil kumar,0,0,0,0
v5FewsVGbtI,2022-06-21,346.0,34.0,31902.0,0.9964334964752196,Sakshi,borugadda anil kumar,0,0,0,0
sLBNjMHgiPc,2022-10-21,290.0,6.0,11292.0,-0.9963566064834596,TV5,borugadda anil kumar,0,0,1,0
BxxbVkjebDM,2023-02-04,54.0,23.0,26635.0,-0.9934130311012268,TV9,borugadda anil kumar,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,borugadda anil kumar,0,0,0,0
4pvJEmUaHr4,2022-10-23,245.0,0.0,734.0,0.9988057613372804,ABN,borugadda anil kumar,0,0,0,0
RMP8-lGZXr8,2023-02-07,240.0,12.0,16365.0,0.995206654071808,TV5,borugadda anil kumar,0,0,1,0
