ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
rXQVfPPh5Qc,2023-02-14,362.0,0.0,547.0,0.9935520887374878,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,cpi narayana,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
v0P-RwwruQY,2022-11-25,221.0,14.0,6667.0,-0.9987509250640868,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gx1Znuozp4c,2023-02-20,183.0,0.0,2613.0,0.9586419463157654,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MHUjsiFR8eo,2023-01-31,300.0,0.0,647.0,-0.998636782169342,TV9,cpi narayana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hBr428hBYLw,2022-12-28,210.0,121.0,57671.0,-0.9978817105293274,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Q8YuoLcmCQ,2023-01-03,156.0,6.0,4434.0,0.9923250675201416,TV9,cpi narayana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
F85agamHypw,2022-12-14,209.0,3.0,1688.0,-0.9975261092185974,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iYPd_zTFGSI,2022-03-09,307.0,1.0,1202.0,0.9981206059455872,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6pLBvxGlSpM,2022-10-13,346.0,1.0,838.0,-0.9942644238471984,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AZ1PBUYRmU,2022-09-14,190.0,33.0,16549.0,0.9969204664230348,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KMD57thsZvc,2023-01-04,164.0,7.0,1872.0,-0.9987574815750122,Sakshi,cpi narayana,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
TmvQMUG-fS4,2023-01-10,214.0,6.0,4235.0,-0.998184859752655,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULNYGuKHrpw,2022-11-05,122.0,0.0,584.0,0.9924732446670532,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GqwOFZKAZEc,2022-09-22,260.0,20.0,7598.0,-0.9994725584983826,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
v1hHEFwo13k,2023-02-02,160.0,0.0,2663.0,-0.9962345957756042,TV5,cpi narayana,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z9esqV-B9GY,2022-11-21,79.0,0.0,295.0,-0.992591142654419,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYOibgP7EKc,2022-11-24,164.0,0.0,565.0,0.981063961982727,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8GhOAfb1MA,2023-01-29,68.0,0.0,729.0,-0.9774536490440368,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYzgWdndx8s,2023-01-02,370.0,11.0,17639.0,-0.9984145164489746,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zOVQe902MWo,2023-01-11,275.0,1.0,1884.0,-0.9905880689620972,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRGLAua5Nvk,2023-01-25,320.0,1.0,1187.0,-0.998971700668335,ABN,cpi narayana,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
xU-qx2AV2z0,2022-11-26,310.0,19.0,3254.0,-0.996220052242279,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pmBVv7t2LYY,2022-11-19,205.0,0.0,683.0,-0.998421311378479,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UizfaCKmtyw,2022-09-05,65.0,0.0,1061.0,0.9967868328094482,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VZY11o8OAbY,2023-01-10,228.0,6.0,52159.0,-0.9979442954063416,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
szqRZEEwZAc,2023-01-01,186.0,2.0,2158.0,-0.9965574741363524,Sakshi,cpi narayana,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6o9Dyrgjtwo,2023-01-27,230.0,3.0,6824.0,-0.9984110593795776,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cu-hLF58YQA,2023-02-05,140.0,3.0,2397.0,-0.996687352657318,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2xJDyOP5t4,2022-11-25,53.0,5.0,7055.0,0.986541986465454,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp7YH6BFX4U,2022-12-02,178.0,1.0,2228.0,0.995001256465912,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaz9mGH49ws,2022-02-26,275.0,39.0,3141.0,-0.9977987408638,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahafi3Kakag,2022-08-29,184.0,21.0,2201.0,-0.9992814660072328,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x1SF8XXFMw0,2022-08-29,95.0,5.0,3219.0,-0.9794229865074158,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iVF9s2mIzac,2022-09-03,366.0,2.0,1830.0,0.9975504279136658,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vBcPA1WaJak,2023-02-15,150.0,36.0,36906.0,-0.994963526725769,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WijQDrrgqwg,2022-01-18,98.0,23.0,10909.0,-0.990205466747284,Sakshi,cpi narayana,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
