ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kakinada.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,tekkali.png
xb475sh_XE8,2022-12-01,318.0,10.0,1156.0,-0.9965052604675292,TV9,vidya deevena ,0,0,0,0,0
ytguHBe0Zjs,2022-03-16,273.0,0.0,1645.0,0.996807098388672,Sakshi,vidya deevena ,0,0,0,0,0
ZoVTZT98TfE,2023-01-30,511.0,1.0,5679.0,-0.9885833263397216,TV9,vidya deevena ,0,0,0,0,0
bSFCapsYUR0,2022-11-30,301.0,34.0,26617.0,0.9865793585777284,Sakshi,vidya deevena ,0,1,0,1,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,vidya deevena ,0,0,0,0,0
6Aaq6HMRQvg,2023-02-06,450.0,1.0,3803.0,-0.9970486760139464,TV5,vidya deevena ,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,vidya deevena ,0,0,0,0,0
nAoQmUrwOaA,2023-01-31,137.0,3.0,2428.0,-0.9963586926460266,TV5,vidya deevena ,0,0,0,0,0
grYUpiNmg14,2021-08-03,1460.0,9.0,2232.0,0.9942264556884766,Sakshi,vidya deevena ,0,0,0,0,0
KprWgXRZKjE,2022-11-30,699.0,195.0,63679.0,0.9985716342926024,Sakshi,vidya deevena ,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,vidya deevena ,1,0,0,0,1
Ekn17_HYqbc,2022-03-21,267.0,0.0,715.0,0.9985711574554444,Sakshi,vidya deevena ,0,0,0,0,0
23-dSqcnvBk,2022-11-24,278.0,1.0,368.0,-0.99093759059906,ABN,vidya deevena ,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,vidya deevena ,0,0,0,0,0
8UbFIlPWZ3U,2023-04-10,116.0,15.0,4127.0,-0.9768276214599608,Sakshi,vidya deevena ,0,0,0,0,0
wBWS6A7kwyo,2023-01-13,91.0,1.0,966.0,-0.9989662170410156,ABN,vidya deevena ,0,0,0,0,0
CBOcwUOUNrU,2023-01-03,55.0,1.0,1631.0,-0.9982616305351256,ABN,vidya deevena ,0,0,0,0,0
JtmZe9iEzj4,2023-02-12,75.0,3.0,1246.0,-0.9990524649620056,TV9,vidya deevena ,0,0,1,0,0
pXPS7c9_ipg,2022-12-27,450.0,11.0,1441.0,-0.9971119165420532,ABN,vidya deevena ,0,1,0,0,0
EKD25bHvC2w,2022-03-15,1380.0,7.0,6045.0,0.9943537712097168,Sakshi,vidya deevena ,0,0,0,0,0
tcHBXYbLatk,2022-11-05,217.0,2.0,3801.0,-0.9983826875686646,TV5,vidya deevena ,1,0,0,0,1
Dqtzlm1B5KA,2023-02-07,539.0,633.0,251323.0,0.998558223247528,TV5,vidya deevena ,0,0,0,0,0
CagKVHyKk8o,2022-10-10,100.0,3.0,9195.0,0.9683306813240052,TV5,vidya deevena ,0,0,0,0,0
MYzgWdndx8s,2023-01-02,370.0,11.0,17639.0,-0.9984145164489746,TV5,vidya deevena ,0,0,0,0,0
pJ2hMunhh2s,2022-11-30,159.0,11.0,5222.0,0.997130572795868,Sakshi,vidya deevena ,0,0,0,0,0
iTbMtm-16Ig,2022-12-06,493.0,3.0,2942.0,-0.9986439347267152,ABN,vidya deevena ,0,0,0,0,0
IONefH3tQtc,2023-02-03,197.0,4.0,1184.0,0.9979766011238098,TV9,vidya deevena ,0,1,0,0,0
GxP6jvGlPpc,2023-02-06,345.0,0.0,1268.0,0.9941563606262208,TV5,vidya deevena ,0,0,0,0,0
Ih88u2GI_t8,2021-08-17,68.0,4.0,2974.0,0.9985872507095336,Sakshi,vidya deevena ,0,0,0,0,0
uHFo61iiqYk,2023-02-06,75.0,5.0,760.0,-0.9963881969451904,TV5,vidya deevena ,0,0,0,0,0
t3IvRIdT4yM,2022-09-14,336.0,1.0,925.0,0.9945106506347656,TV5,vidya deevena ,0,0,0,0,0
dZrVkgIHpBc,2022-12-07,450.0,6.0,3741.0,-0.9933470487594604,TV5,vidya deevena ,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,vidya deevena ,0,0,0,0,0
e-OkKYQyqkI,2023-01-24,38.0,0.0,470.0,-0.9972051978111268,TV9,vidya deevena ,0,0,0,0,0
zyLhKt6tDHg,2022-08-11,132.0,23.0,27183.0,0.9978519678115844,Sakshi,vidya deevena ,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,vidya deevena ,0,0,0,0,0
vBcPA1WaJak,2023-02-15,150.0,36.0,36906.0,-0.994963526725769,ABN,vidya deevena ,0,0,0,0,0
VXt5oIwqJRE,2022-11-04,482.0,7.0,2160.0,-0.9953568577766418,ABN,vidya deevena ,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,vidya deevena ,0,0,0,0,0
ceJXfOW4ONA,2023-01-19,24.0,0.0,12243.0,-0.9955437779426576,TV9,vidya deevena ,0,0,0,0,0
tVyc-D96qOk,2023-02-05,206.0,0.0,1191.0,0.9958826303482056,ABN,vidya deevena ,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,vidya deevena ,0,0,1,0,0
ZS7wXbeXos8,2019-06-30,49.0,0.0,761.0,-0.9917728304862976,Sakshi,vidya deevena ,0,0,0,0,0
mcN3n9PPAoM,2023-02-04,113.0,1.0,4444.0,-0.9951979517936708,TV9,vidya deevena ,0,0,0,0,0
Viy5Q0fC0DU,2023-01-03,89.0,2.0,1975.0,0.9985660910606384,ABN,vidya deevena ,0,0,0,0,0
nGcmSOZecvM,2021-11-08,1747.0,18.0,2946.0,0.9897298812866212,Sakshi,vidya deevena ,0,0,0,0,0
vz3HB0oFzwY,2023-01-31,120.0,7.0,2093.0,-0.9962095022201538,TV9,vidya deevena ,0,0,0,0,0
0_s3HSm5mqg,2022-10-18,90.0,0.0,1066.0,0.9945017099380492,TV5,vidya deevena ,0,0,0,0,0
ljCErvCw_zE,2022-03-15,369.0,51.0,49458.0,0.9970934391021729,Sakshi,vidya deevena ,0,0,1,0,0
gTVI5HCIU14,2022-10-10,333.0,0.0,819.0,0.9911656975746156,TV5,vidya deevena ,0,0,0,0,0
9BHDSK7fHy8,2023-01-24,189.0,19.0,14685.0,0.9860780239105223,TV5,vidya deevena ,0,0,0,0,0
dbG75tso67Q,2022-11-03,170.0,15.0,3604.0,-0.992377519607544,TV5,vidya deevena ,0,0,0,0,0
7BByqd9LCwM,2022-10-25,261.0,0.0,1949.0,-0.9968283772468568,ABN,vidya deevena ,0,0,0,0,1
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,vidya deevena ,0,0,0,0,0
96xyJrLPXBY,2022-11-07,60.0,1.0,254.0,-0.9957770109176636,ABN,vidya deevena ,0,0,0,0,0
Hw0zcna7cHs,2021-07-23,386.0,28.0,28067.0,-0.990359902381897,Sakshi,vidya deevena ,0,0,0,0,0
8Kai-jtcv4M,2022-09-01,80.0,0.0,2645.0,-0.9902271032333374,TV5,vidya deevena ,0,0,0,0,0
SYKFDi_RAFo,2021-11-17,73.0,4.0,5119.0,0.9985499978065492,Sakshi,vidya deevena ,0,0,0,0,0
Y9Rhe0KPe_o,2022-11-30,243.0,15.0,3806.0,-0.8805441856384277,TV9,vidya deevena ,0,1,0,0,0
ZetF0VKZzmE,2022-08-11,177.0,11.0,7663.0,0.9978426694869996,Sakshi,vidya deevena ,0,0,0,0,0
g8QQD5ykxJc,2022-07-21,312.0,11.0,5660.0,0.9970645308494568,Sakshi,vidya deevena ,1,0,0,0,0
mXP-Asju8Wg,2022-08-11,5736.0,139.0,396511.0,0.996485471725464,Sakshi,vidya deevena ,0,0,0,0,0
GUKs44G5mRY,2022-11-30,300.0,202.0,527732.0,0.9907482266426086,Sakshi,vidya deevena ,0,0,0,0,0
pCBepD3TeqA,2022-03-16,870.0,161.0,187739.0,0.9982619881629944,Sakshi,vidya deevena ,0,0,0,0,0
UtXu2cEr-i4,2022-06-28,561.0,1.0,2437.0,-0.9993025064468384,Sakshi,vidya deevena ,0,0,0,0,0
LT5_l8RnBJ8,2023-01-21,144.0,0.0,1185.0,0.9964744448661804,TV9,vidya deevena ,0,0,0,0,0
-dReNwkvyrM,2023-04-19,132.0,12.0,14093.0,0.996772825717926,Sakshi,vidya deevena ,0,0,0,0,0
ck6Z4FAe7qM,2023-03-19,186.0,18.0,19830.0,0.9917184114456176,Sakshi,vidya deevena ,0,1,0,0,0
L-PXsS7Grmo,2022-09-29,135.0,0.0,3397.0,-0.94660222530365,TV5,vidya deevena ,0,0,0,0,0
3A1OzWGRQeM,2021-12-15,586.0,12.0,2773.0,0.9936878085136414,Sakshi,vidya deevena ,0,1,0,0,0
S5OF-uUwu7Q,2022-11-30,119.0,2.0,8691.0,0.9987333416938782,Sakshi,vidya deevena ,0,1,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,vidya deevena ,1,0,1,1,0
X1K-ZnCbpJU,2022-04-08,154.0,56.0,51474.0,0.9981239438056946,Sakshi,vidya deevena ,0,0,0,0,0
Sebhk-iDoYc,2023-03-19,363.0,793.0,347123.0,0.998615026473999,Sakshi,vidya deevena ,0,0,0,0,0
iaAK_QxZiSg,2023-01-26,70.0,64.0,71425.0,0.9985032081604004,TV5,vidya deevena ,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,vidya deevena ,0,0,0,0,0
e3P03K35mYM,2023-01-11,230.0,13.0,18207.0,-0.9712977409362792,TV5,vidya deevena ,0,0,0,0,0
bPCo9hx-fn4,2023-01-30,318.0,57.0,27146.0,-0.981736183166504,TV5,vidya deevena ,0,0,0,0,0
fbZxGwZn1Po,2023-03-19,339.0,99.0,99741.0,0.997858464717865,Sakshi,vidya deevena ,0,0,0,0,0
ImZIpf4Hu54,2022-11-30,247.0,3.0,3146.0,0.997458040714264,Sakshi,vidya deevena ,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,vidya deevena ,0,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,vidya deevena ,0,0,0,0,1
xfAOUdpO0W0,2022-03-15,136.0,2.0,2209.0,0.9935868978500366,Sakshi,vidya deevena ,0,0,0,0,0
_5aZmAaEkcs,2023-03-19,76.0,97.0,33132.0,0.997444748878479,Sakshi,vidya deevena ,0,0,0,0,0
XVl3oz2jwdo,2022-12-26,208.0,14.0,78206.0,0.9968932867050172,Sakshi,vidya deevena ,0,0,0,0,0
2U8QsFLRGt0,2022-11-30,5966.0,65.0,316961.0,0.9941868782043456,Sakshi,vidya deevena ,0,0,0,0,0
PUJbz-Try5U,2022-12-13,343.0,1.0,705.0,0.9974736571311952,TV9,vidya deevena ,0,0,0,0,0
JYoS4RXWgmI,2022-11-02,277.0,107.0,16644.0,-0.9929897785186768,Sakshi,vidya deevena ,0,1,0,0,0
Rzi5Ft6qJUw,2023-03-03,311.0,2.0,1830.0,0.9980313181877136,TV9,vidya deevena ,0,0,0,0,0
PlilqosM37s,2023-04-14,203.0,21.0,13195.0,-0.9987254738807678,TV9,vidya deevena ,0,0,0,0,0
toO3dFkWttQ,2023-01-09,230.0,13.0,117914.0,0.995794415473938,TV9,vidya deevena ,0,0,0,0,0
ruHUMKwwJVU,2021-11-30,404.0,58.0,7978.0,0.9922879934310912,Sakshi,vidya deevena ,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,vidya deevena ,0,0,0,0,0
AXhKSEGrLRY,2023-01-28,87.0,64.0,146125.0,0.9935802221298218,TV5,vidya deevena ,0,0,0,0,0
fX52da8wHAE,2021-09-02,206.0,1.0,1095.0,0.9891507625579834,Sakshi,vidya deevena ,0,0,0,0,0
h16C8gqw-W8,2023-03-09,215.0,4.0,718.0,-0.998111128807068,TV5,vidya deevena ,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,vidya deevena ,0,0,0,0,0
5BV63VZiy_I,2022-11-03,313.0,12.0,10103.0,-0.9875959157943726,TV5,vidya deevena ,0,0,0,0,0
x2d4OqdChnU,2023-02-06,66.0,1.0,5041.0,-0.990523636341095,TV5,vidya deevena ,0,0,0,0,0
XwBa3DsjN1o,2023-02-03,621.0,2.0,1028.0,0.9950613379478456,ABN,vidya deevena ,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,vidya deevena ,0,0,0,0,0
qImzmMOR4d0,2021-08-17,153.0,15.0,3209.0,0.9963807463645936,Sakshi,vidya deevena ,0,1,0,0,0
h4Me1pXjMhE,2022-11-29,398.0,27.0,9092.0,0.9901477694511414,Sakshi,vidya deevena ,1,0,0,0,0
eT09fDpj1mA,2023-01-24,74.0,0.0,798.0,-0.9975457787513732,TV9,vidya deevena ,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,vidya deevena ,0,0,0,0,0
A_t0ljL5NjU,2023-01-21,266.0,15.0,19164.0,0.9854456186294556,ABN,vidya deevena ,0,0,0,0,0
20PKkTFux7w,2022-12-03,51.0,0.0,1406.0,0.9876434803009032,ABN,vidya deevena ,0,0,0,0,0
LgJ8qiUQECQ,2023-01-21,128.0,0.0,273.0,0.9981330037117004,ABN,vidya deevena ,0,0,0,0,0
arCbJtdHpsk,2022-11-26,49.0,8.0,1566.0,0.9954842329025269,TV9,vidya deevena ,0,0,0,0,0
8ltQT6zp7g4,2022-08-11,1853.0,223.0,86267.0,0.994957149028778,Sakshi,vidya deevena ,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,vidya deevena ,0,0,0,0,0
obyTX6Rruzw,2023-02-06,522.0,0.0,1019.0,0.9913990497589112,TV9,vidya deevena ,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,vidya deevena ,0,0,0,0,0
zf3V4rsRwKk,2023-01-24,210.0,5.0,3973.0,-0.997394561767578,ABN,vidya deevena ,0,0,0,0,1
mq8OSLevb5U,2023-01-30,150.0,5.0,4163.0,-0.998017430305481,TV5,vidya deevena ,0,0,0,0,0
v5FJf0nXKDQ,2022-05-05,2729.0,209.0,41624.0,0.9952310919761658,Sakshi,vidya deevena ,0,0,0,0,0
frEZg6-NzkE,2023-01-24,74.0,0.0,874.0,0.9836058616638184,TV9,vidya deevena ,0,0,0,0,0
TgLDyezhJug,2022-08-21,161.0,10.0,14306.0,0.994702398777008,TV5,vidya deevena ,0,0,0,0,0
GxcX8QFqsnU,2022-10-31,261.0,31.0,2016.0,0.99743914604187,Sakshi,vidya deevena ,0,1,0,0,0
jnbkhnqLxS4,2021-12-30,367.0,12.0,2771.0,0.9900915622711182,Sakshi,vidya deevena ,0,1,0,0,0
6udeeBSon9c,2022-03-15,273.0,0.0,1368.0,0.9985846281051636,Sakshi,vidya deevena ,0,0,1,0,0
jELmVmE0KPo,2022-09-10,62.0,0.0,507.0,-0.9963149428367616,TV5,vidya deevena ,0,0,0,0,0
8QzsiVPvSfk,2023-03-30,53.0,4.0,2604.0,-0.997391939163208,TV9,vidya deevena ,0,0,0,0,0
eZeKIn06tAk,2023-02-12,108.0,3.0,4941.0,0.9967564940452576,TV9,vidya deevena ,0,0,0,0,0
DcZVLekmSHw,2022-11-30,13075.0,6.0,70616.0,0.9978324770927428,TV9,vidya deevena ,0,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,vidya deevena ,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,vidya deevena ,0,0,0,0,0
gu-MvH9fmg0,2022-12-15,123.0,5.0,4023.0,0.9948346614837646,TV5,vidya deevena ,0,0,0,0,0
aTQYnXnBvQY,2023-02-14,109.0,3.0,3525.0,-0.999362051486969,TV5,vidya deevena ,0,0,0,0,0
uaNBU9_h1IU,2023-02-02,65.0,0.0,1039.0,-0.999117910861969,TV9,vidya deevena ,0,0,0,0,0
QQ2OzdHsGkE,2022-12-29,250.0,1.0,1519.0,-0.9979864358901978,ABN,vidya deevena ,0,0,0,1,1
_m42Lqt4ZSo,2021-11-10,576.0,6.0,1322.0,0.998311161994934,Sakshi,vidya deevena ,0,1,0,0,0
wez7TDBgPkI,2023-03-13,219.0,1.0,3572.0,-0.996773898601532,TV9,vidya deevena ,0,0,0,0,0
6oOQr3wYB_Y,2023-02-03,375.0,13.0,18807.0,-0.9928009510040284,TV5,vidya deevena ,0,0,0,0,0
KydWNSlIGNA,2023-03-21,218.0,9.0,37966.0,-0.9980192184448242,TV9,vidya deevena ,0,0,0,0,0
Ugs76ijXREU,2023-03-23,178.0,48.0,141873.0,0.9841030836105348,TV5,vidya deevena ,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,vidya deevena ,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,vidya deevena ,0,0,0,0,0
uMwZVGuZ_h0,2022-11-11,311.0,26.0,10743.0,0.9987263083457948,Sakshi,vidya deevena ,0,0,1,0,0
1RG6wYqCDbo,2023-04-16,82.0,0.0,2525.0,0.9982958436012268,TV9,vidya deevena ,0,0,0,0,0
B15DELD3DSs,2023-02-03,2832.0,32.0,16190.0,0.9953609108924866,Sakshi,vidya deevena ,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,vidya deevena ,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,vidya deevena ,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,vidya deevena ,0,0,0,0,0
4QMzjDpQYlw,2022-12-21,360.0,5.0,5989.0,0.9986502528190612,Sakshi,vidya deevena ,0,0,0,0,0
uoZb9z-PjuM,2022-12-24,171.0,3.0,6904.0,0.998771607875824,ABN,vidya deevena ,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,vidya deevena ,0,0,0,0,0
sXKv4luHiCI,2022-11-30,293.0,20.0,21552.0,-0.6940790414810181,Sakshi,vidya deevena ,0,0,0,0,0
E9qN41AhhNw,2022-11-30,471.0,13.0,23377.0,0.9939635396003724,Sakshi,vidya deevena ,0,0,0,0,0
wdqmXLu4yD0,2022-08-24,100.0,2.0,1597.0,-0.9971283078193665,TV5,vidya deevena ,0,0,0,0,0
A29GUZGemnY,2023-01-09,285.0,11.0,2595.0,-0.9981127977371216,Sakshi,vidya deevena ,0,0,1,0,0
X1HEAxMgsd0,2022-12-02,35.0,0.0,564.0,0.9982840418815612,ABN,vidya deevena ,0,0,0,0,0
Nkep4oy7POI,2023-01-31,345.0,51.0,71559.0,-0.9976654052734376,ABN,vidya deevena ,0,1,0,0,0
WprJWpCMBkw,2023-02-06,144.0,21.0,5664.0,0.9980005621910096,TV5,vidya deevena ,0,0,0,0,0
CuHsIYigrss,2023-03-07,446.0,4.0,3613.0,0.9972720742225648,TV5,vidya deevena ,0,0,0,0,0
9suGVRZeiOw,2023-04-19,80.0,0.0,356.0,0.993309736251831,TV5,vidya deevena ,0,0,0,0,0
WxIx_TV0bGs,2023-01-09,119.0,1.0,747.0,-0.9974746108055116,TV5,vidya deevena ,0,0,1,0,0
bSZbtcuZopM,2022-05-05,170.0,185.0,143738.0,0.998778522014618,Sakshi,vidya deevena ,0,1,1,0,0
3gsDGt7lZcM,2022-08-21,85.0,0.0,2012.0,0.9976363182067872,TV5,vidya deevena ,0,0,0,0,0
Sgeald7FXyg,2023-03-19,313.0,9.0,1839.0,0.9982576966285706,ABN,vidya deevena ,0,0,0,0,0
IBV0YmDtri8,2022-12-10,83.0,0.0,1062.0,-0.993655800819397,ABN,vidya deevena ,0,0,0,0,0
dDrfLDl7Dik,2023-02-06,133.0,1.0,839.0,0.998583197593689,TV5,vidya deevena ,0,0,0,0,0
8gNNogNNjQ0,2023-01-09,48.0,1.0,2912.0,0.9972942471504213,Sakshi,vidya deevena ,0,1,0,0,0
i_wOaZbMOB8,2023-02-04,285.0,1.0,1093.0,-0.9992963075637816,TV5,vidya deevena ,0,0,0,0,0
aKhhYvn3gRY,2022-11-26,102.0,1.0,978.0,0.837120532989502,TV9,vidya deevena ,0,0,0,0,0
NfGW-7YXB18,2023-04-11,77.0,3.0,11152.0,0.9881795644760132,ABN,vidya deevena ,0,0,0,0,0
ynzwjLWEasE,2023-03-12,293.0,6.0,2329.0,0.9982945322990416,Sakshi,vidya deevena ,0,0,0,0,0
tCXHdNIMYuI,2022-11-30,275.0,67.0,66812.0,0.9985606074333192,Sakshi,vidya deevena ,0,0,0,1,0
3-PS0CZX_q4,2022-04-08,65.0,97.0,112707.0,0.9975032210350036,Sakshi,vidya deevena ,0,0,0,0,0
H43LZBe0iIc,2022-12-23,209.0,12.0,127954.0,0.9782228469848632,TV9,vidya deevena ,0,0,0,0,0
wMZrh0MYKpY,2022-10-26,214.0,10.0,1839.0,0.955585777759552,ABN,vidya deevena ,0,0,0,0,0
135_mRc9By0,2022-04-08,220.0,157.0,164744.0,0.9984195232391356,Sakshi,vidya deevena ,0,1,0,0,0
m15hknPd7vE,2022-09-01,114.0,7.0,524.0,0.992373526096344,TV5,vidya deevena ,0,0,1,0,1
HqntCybRiKs,2023-01-31,228.0,11.0,5751.0,-0.9932454228401184,TV5,vidya deevena ,0,0,0,0,0
vv-SsG1G2JY,2023-02-06,128.0,1.0,584.0,0.9981355667114258,TV5,vidya deevena ,0,0,0,0,0
Djh8E28nvu8,2022-03-16,926.0,19.0,8769.0,0.9942851662635804,Sakshi,vidya deevena ,0,0,0,0,0
2c6RgI6Nspg,2023-03-09,57.0,1.0,1670.0,0.9891195297241212,TV9,vidya deevena ,0,0,0,0,0
ZxjGrzwEpFo,2023-04-07,64.0,3.0,1671.0,-0.9977151155471802,TV9,vidya deevena ,0,0,0,0,0
9nr2QHeFwkY,2022-11-02,133.0,0.0,1640.0,-0.9987727999687196,TV5,vidya deevena ,0,0,0,0,0
SV4KIeRs5FI,2021-08-06,76.0,2.0,8159.0,0.9985511898994446,Sakshi,vidya deevena ,0,0,0,0,0
aIhp0mxYcPM,2021-11-30,283.0,20.0,5745.0,0.9955180287361144,Sakshi,vidya deevena ,0,1,0,0,0
kH9LwRQ_OJs,2023-01-26,31.0,0.0,10519.0,-0.9974875450134276,TV9,vidya deevena ,0,0,0,0,0
gJCGNonaR60,2022-11-30,237.0,6.0,1716.0,0.9920012950897216,TV9,vidya deevena ,0,1,0,0,0
t6ivVpMHm_Q,2022-12-12,332.0,1.0,1703.0,0.9938401579856871,TV5,vidya deevena ,0,0,1,0,0
h3hmvW7IWw0,2022-10-26,289.0,6.0,2221.0,-0.9966431856155396,ABN,vidya deevena ,0,0,0,0,0
_OwcAFmK_wI,2022-12-02,218.0,2.0,19461.0,-0.9816837310791016,TV9,vidya deevena ,0,0,0,0,0
_Y2hYbsQ2XE,2023-03-20,70.0,0.0,1968.0,-0.9993220567703248,TV9,vidya deevena ,0,0,0,0,0
cVvsVqsjcZw,2023-02-22,63.0,5.0,9708.0,-0.9931871891021729,TV9,vidya deevena ,0,0,0,0,0
QUJ8d3SRBqw,2023-04-18,294.0,9.0,3394.0,-0.997008740901947,ABN,vidya deevena ,0,0,0,0,0
nxdLE9ME1lg,2023-04-09,61.0,1.0,623.0,0.998243808746338,TV9,vidya deevena ,0,0,0,0,0
gjLdAfN7S64,2021-11-30,109.0,13.0,4537.0,0.9985284805297852,Sakshi,vidya deevena ,0,0,0,0,0
G5AEqU4ih1I,2023-02-16,111.0,37.0,10752.0,0.9658276438713074,TV9,vidya deevena ,0,0,0,0,0
lzVNVM1M9v4,2022-03-15,870.0,55.0,39469.0,0.9983600974082948,Sakshi,vidya deevena ,0,0,0,0,0
mF1ZzFJOOiQ,2023-02-03,907.0,41.0,5316.0,0.996591567993164,Sakshi,vidya deevena ,0,0,0,0,0
v3DaFmD9Rqc,2023-04-14,294.0,41.0,33256.0,0.9983121156692504,Sakshi,vidya deevena ,0,0,0,1,0
4qZuvjBnIJM,2021-07-29,3691.0,17.0,47524.0,0.9969786405563354,Sakshi,vidya deevena ,0,0,0,0,0
ZCEM9LyrNME,2022-08-11,662.0,33.0,34189.0,0.9974572062492372,Sakshi,vidya deevena ,0,0,0,0,0
HKzJu2fh68s,2023-03-12,75.0,6.0,23900.0,0.996422290802002,Sakshi,vidya deevena ,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,vidya deevena ,0,0,0,0,0
xr6ev6mUezQ,2022-12-16,86.0,0.0,4384.0,-0.9972803592681884,TV9,vidya deevena ,0,0,0,0,0
