ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,MLC Elections 2023,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,MLC Elections 2023,0,0,0,0
P9muSxRnYmw,2023-03-29,228.0,4.0,66057.0,-0.989075005054474,TV9,MLC Elections 2023,0,0,0,0
ooH7BFtUEew,2023-03-14,210.0,11.0,2747.0,-0.9943736791610718,TV5,MLC Elections 2023,0,0,0,0
2KgsBD4JgnE,2023-03-23,86.0,7.0,72067.0,0.9973764419555664,TV9,MLC Elections 2023,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,MLC Elections 2023,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,MLC Elections 2023,0,0,0,0
_Zlh1W55e_g,2023-03-19,274.0,20.0,29523.0,0.9978249073028564,TV5,MLC Elections 2023,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,MLC Elections 2023,0,0,0,0
nhJDQ_4BXbo,2023-03-17,185.0,229.0,114534.0,0.9986897110939026,TV5,MLC Elections 2023,0,0,0,0
Bp9ViBBhd2w,2023-03-12,146.0,0.0,610.0,0.998445451259613,ABN,MLC Elections 2023,0,0,0,0
1l1oxyMz9TM,2023-03-14,225.0,0.0,585.0,-0.996926248073578,TV5,MLC Elections 2023,0,0,0,1
e1jzXh7TorA,2023-03-14,280.0,0.0,1088.0,-0.999449908733368,TV5,MLC Elections 2023,0,0,0,1
IzLrfQELDco,2023-03-16,178.0,0.0,5719.0,-0.9934877157211304,TV9,MLC Elections 2023,0,0,0,0
5p6wKn2a4-Q,2023-03-18,345.0,15.0,8465.0,-0.9959419369697572,TV9,MLC Elections 2023,0,0,0,0
