ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,machillipatnam.png,tenali.png,kodur.png,venkatagiri.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,gudivada.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,paderu.png,sambasivarao.png,tekkali.png
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
eR8ysUfuBYc,2023-02-11,59.0,5.0,9891.0,0.996776282787323,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBXedjq9qMs,2023-03-17,505.0,21.0,2220.0,-0.9978862404823304,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viy5Q0fC0DU,2023-01-03,89.0,2.0,1975.0,0.9985660910606384,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0bfA9GFmUM,2021-03-02,308.0,43.0,7587.0,-0.9886122345924376,Sakshi,Machilipatnam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
x_ODAtUMi7w,2023-01-08,243.0,8.0,18106.0,-0.9974608421325684,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JXDfwTA1pSI,2022-11-30,243.0,5.0,5892.0,-0.9974310994148254,TV9,Machilipatnam,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
QuMOvseJQd4,2022-11-30,343.0,12.0,3809.0,-0.9978964328765868,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pl2pgPmuTag,2022-11-12,83.0,12.0,6552.0,0.9978735446929932,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
