ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,chintalapudi.png,tadikonda.png,palakollu.png,pulivendula.png,kanigiri.png,singanamala.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,vijayawada_east.png,kurupam.png,paderu.png,sambasivarao.png,tekkali.png
dWdjjx806do,2022-09-26,90.0,0.0,714.0,0.9952587485313416,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfciRoddfOk,2022-10-19,282.0,579.0,96105.0,-0.989585816860199,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LggIZbM7rp4,2022-03-15,289.0,38.0,19187.0,0.9986825585365297,Sakshi,Vidadala Rajini,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
sOhg8025Q7c,2022-11-09,189.0,11.0,3606.0,0.9983701109886168,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bC9R6DwirSM,2022-09-03,213.0,304.0,339618.0,-0.9987305998802184,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qc2uyoMH8gY,2023-04-06,71.0,6.0,3668.0,0.9919692873954772,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbVWF4lXfAw,2022-09-19,331.0,7.0,1475.0,-0.9978391528129578,TV5,Vidadala Rajini,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pwOUDyvP82I,2021-10-27,57.0,25.0,35189.0,0.998076558113098,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pXhRZDtn0jg,2022-09-08,181.0,0.0,1854.0,-0.988698422908783,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y4L-C35bX_A,2023-03-31,179.0,22.0,7603.0,-0.9992954730987548,Sakshi,Vidadala Rajini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
inZFNu1JZuA,2022-05-21,453.0,117.0,189508.0,0.9986411929130554,Sakshi,Vidadala Rajini,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G7RmhT8b8oA,2022-10-19,141.0,13.0,2432.0,-0.9948328733444214,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rVh7bmIokcs,2022-10-10,149.0,5.0,3183.0,-0.9950496554374696,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ceSSucReZNY,2023-03-20,245.0,7.0,6234.0,-0.9986528158187866,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kjr3KF0eym0,2022-09-14,75.0,1.0,1708.0,0.992456555366516,TV5,Vidadala Rajini,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7-g2SnMItCk,2022-10-15,283.0,25.0,4394.0,0.9973673224449158,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
utPYOJaNdbY,2023-01-09,335.0,6.0,1576.0,-0.992029905319214,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5-StBEQaT0Q,2023-01-07,337.0,84.0,29650.0,-0.9903556108474731,TV9,Vidadala Rajini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gYeEzNOniUw,2022-11-18,126.0,1.0,2962.0,-0.9879488945007324,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DvPs4SuHu0U,2022-09-23,240.0,2.0,2350.0,-0.9976547956466676,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
