ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,machillipatnam.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,palakollu.png,rajinikanth.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,repalle.png,sattenapalli.png,paturi_nagabhusnam.png,rayachoti.png,paderu.png,nandikotkur.png,vizianagaram.png,tekkali.png,pawan.png
cokzTW4er6g,2022-10-18,138.0,36.0,1746.0,-0.998007833957672,Sakshi,vizag steel plant,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANFeFRDV3D8,2022-09-27,75.0,0.0,2954.0,0.992251455783844,TV5,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-BkPv7xayU,2022-12-01,123.0,1.0,600.0,0.995136559009552,ABN,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM6Hed4jPxw,2021-02-20,332.0,3.0,3916.0,0.9974530339241028,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUjCA21yP2A,2021-02-18,602.0,4.0,4799.0,0.9938071370124816,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kVfMKUcdefI,2019-12-23,148.0,6.0,22013.0,0.996648609638214,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j4WcF7Nt2PY,2021-02-20,248.0,5.0,2204.0,0.993498921394348,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9DLAeBG7lsc,2021-02-16,3314.0,7.0,5591.0,0.9835520386695862,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnCd_kGUz0w,2021-02-20,330.0,60.0,34767.0,0.9932714104652404,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jw_23m1c-D8,2023-01-18,36.0,15.0,8732.0,0.9957830905914308,ABN,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2VpEU_QkPek,2021-02-20,142.0,1.0,2157.0,0.9987389445304872,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
G2xCv79gqsY,2022-10-08,175.0,70.0,28478.0,-0.9980649352073668,TV5,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ejj5o5XPryo,2021-02-20,199.0,2.0,591.0,0.9966912269592284,Sakshi,vizag steel plant,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Cs_fORAljxQ,2022-11-12,361.0,17.0,6277.0,-0.9993977546691896,TV5,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7sHqhhRcMlM,2021-02-20,149.0,0.0,1588.0,0.9936983585357666,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gxuhvxKtxBc,2021-02-20,166.0,2.0,1520.0,0.9984897375106812,Sakshi,vizag steel plant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ubjz34SbyU,2022-12-01,295.0,16.0,5747.0,-0.9981854557991028,TV5,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
PreZxjd4UkQ,2021-02-20,640.0,2.0,2686.0,-0.9794501066207886,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcHBXYbLatk,2022-11-05,217.0,2.0,3801.0,-0.9983826875686646,TV5,vizag steel plant,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kHCEZ16vb7g,2022-11-11,266.0,9.0,5831.0,0.9697660207748412,TV5,vizag steel plant,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
bUYSz5VF8CY,2019-12-22,103.0,11.0,15679.0,0.9979531764984132,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jBK1292RiVs,2022-12-30,207.0,3.0,1425.0,0.9862619042396544,ABN,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DsCkgLtB0xw,2021-02-18,603.0,12.0,3708.0,0.9981135129928588,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2w9bBcteaA,2022-10-16,330.0,44.0,27167.0,-0.9984394907951356,TV5,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ob9rk0IzNzc,2023-03-05,186.0,17.0,1734.0,0.9986836314201356,Sakshi,vizag steel plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
