ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kakinada.png,palakollu.png,gudivada.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png,pawan.png,Narasannapeta.png
5CdupacHy6U,2022-12-06,105.0,5.0,5560.0,0.9907127022743224,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
2Lsft5aVYA8,2023-02-04,508.0,1.0,1203.0,0.9987396597862244,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
KNtwux2yPxU,2023-02-14,88.0,2.0,212.0,-0.982344925403595,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
2snxP3vh2Sw,2023-02-01,40.0,9.0,13687.0,-0.9911854863166808,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
fNlUz_tN0xY,2022-08-29,150.0,4.0,2395.0,-0.9935964345932008,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
n4GrThswR10,2023-01-17,267.0,2.0,518.0,-0.9994231462478638,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
mDPAyTDIKEA,2022-12-15,115.0,1.0,1107.0,-0.9789003133773804,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,1,0
_9NqQzp1xRE,2022-07-23,482.0,55.0,70123.0,0.9942938685417176,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,1,0
iY8JM1D3ydU,2023-01-26,144.0,1.0,839.0,-0.9991482496261596,TV5,bonda uma ,0,0,0,0,0,1,0,0,0,0,0
eFysyX5fEOc,2022-10-19,395.0,2.0,4572.0,-0.9958289265632628,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
9gv7a_ievJc,2022-01-25,294.0,34.0,21043.0,-0.9993959665298462,Sakshi,bonda uma ,0,0,0,1,0,0,1,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
esaWtxJqyA8,2022-07-07,94.0,3.0,13436.0,-0.9872652292251588,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
0DbEi9YvtQE,2023-02-11,390.0,8.0,9128.0,-0.9972935318946838,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
ceJXfOW4ONA,2023-01-19,24.0,0.0,12243.0,-0.9955437779426576,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Zhvsv_EXuAo,2022-01-25,77.0,182.0,155906.0,0.9928077459335328,Sakshi,bonda uma ,0,0,0,1,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,bonda uma ,0,0,0,0,0,1,0,0,0,0,0
