ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,punganur.png,raptadu.png,kurnool.png,vizianagaram_.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,Advocate _Sravan Kumar.png,guntur_east.png,narsapuram_l.png,eluru.png,venkat_krishna.png,palakollu.png,pedakurapadu.png,macherala.png,Nellimarla.png,penamaluru.png,myudukur.png,pulivendula.png,vinukonda.png,sarvepalli.png,kaikuluru.png,unguturu.png,mangalagiri.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,pamarru.png,nandikotkur.png,tadepalligudem.png,sambasivarao.png,tekkali.png,hindupur.png,denduluru.png,pawan.png,kakinada_city.png,Narasannapeta.png
m3cfL8baXbk,2022-08-24,251.0,0.0,2629.0,-0.9988994598388672,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcunBXHUMvQ,2023-01-03,42896.0,14.0,96777.0,0.9840775728225708,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bAnEnw0TD5s,2023-02-01,220.0,8.0,11791.0,0.984965682029724,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mpeva1ml6u8,2023-01-02,198.0,0.0,3021.0,0.994695007801056,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kPrBdjDIRGw,2022-08-28,125.0,9.0,10843.0,0.9961686730384828,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gvFrlm_GKeY,2022-10-14,160.0,65.0,11908.0,-0.996859073638916,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rxp56EoH-KI,2022-12-29,355.0,20.0,9494.0,-0.9982105493545532,ABN,raghurama ,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I36VHV8fo60,2023-01-04,175.0,14.0,14529.0,-0.9718677997589112,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
j9-4eC1Wof8,2022-11-30,29387.0,10.0,50755.0,0.9860183000564576,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pAJrHQrVTB4,2022-09-14,284.0,10.0,2719.0,-0.9946480393409728,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f1aUVqsJtgY,2022-01-11,99.0,160.0,43262.0,-0.998342514038086,Sakshi,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O490WifkmLY,2023-02-03,315.0,6.0,10436.0,-0.9948033690452576,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kaWgqO62Dsk,2022-12-10,185.0,0.0,2819.0,0.9986082911491394,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljl9pXbi5Qs,2023-01-27,330.0,81.0,112441.0,-0.998158037662506,ABN,raghurama ,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
9_neKao7hes,2022-09-07,690.0,42.0,36977.0,0.9909188747406006,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dDxlqiuxYZE,2022-08-28,210.0,236.0,151565.0,-0.9958892464637756,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLJAUSAf78s,2023-02-06,318.0,17.0,8911.0,-0.9980524778366088,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zaeY73APciA,2022-11-18,185.0,2.0,2100.0,-0.998873770236969,ABN,raghurama ,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
9aic7OkQ6gs,2022-12-13,11634.0,0.0,12008.0,0.7281419038772583,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6DssEyVQ898,2022-11-22,189.0,4.0,2728.0,0.998227059841156,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Qn3I-g7pwpk,2022-10-17,354.0,3.0,2982.0,-0.9990944862365724,ABN,raghurama ,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
UxiQLAYRGf0,2023-02-01,265.0,14.0,17218.0,0.9966283440589904,ABN,raghurama ,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
fa91gju9U7o,2022-09-10,2565.0,15.0,8784.0,0.9961256384849548,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ekFwKidIJg,2023-01-16,42898.0,13.0,48420.0,0.9840775728225708,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mZB7S00Y3Lw,2022-11-25,170.0,116.0,36555.0,-0.999334990978241,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z182dXdcO2U,2023-01-05,74.0,0.0,945.0,0.9970867037773132,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gOldi0GpqmY,2023-02-01,5774.0,0.0,12097.0,0.9833717942237854,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
