ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,venkat_krishna.png,palakollu.png,gudivada.png,myudukur.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,paturi_nagabhusnam.png,tekkali.png
QfK-FRptojk,2022-08-22,157.0,1.0,3916.0,-0.999148964881897,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bKeINB7G7B4,2023-04-15,270.0,11.0,3882.0,-0.998428225517273,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Py4xAQhfN9Q,2022-10-11,290.0,9.0,2803.0,-0.998464584350586,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a2Y1OaVztCo,2022-09-27,160.0,3.0,821.0,0.9983798265457152,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PnMyU3AnZfY,2023-01-02,255.0,0.0,970.0,-0.9966607093811036,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
itFLLAkqGhc,2022-11-10,295.0,4.0,3569.0,-0.999495267868042,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1u7DatnTtw,2022-11-06,305.0,0.0,8972.0,0.996819257736206,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nle9yCZddRs,2021-11-25,261.0,510.0,575373.0,-0.9073516130447388,Sakshi,kodi kathi,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
dSUgrQtxmq0,2023-01-26,130.0,3.0,2723.0,-0.9986563920974731,ABN,kodi kathi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RTfkTpnZ3E,2022-02-01,209.0,0.0,1068.0,-0.998957633972168,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oPsBZk3oAcU,2022-11-18,191.0,0.0,744.0,-0.998005211353302,ABN,kodi kathi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FcZnoDsCu_U,2023-04-05,162.0,40.0,92971.0,-0.9938568472862244,Sakshi,kodi kathi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-kS71Wrn-Do,2022-12-16,157.0,11.0,3384.0,0.9961838126182556,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
et8QilFziCo,2020-03-03,100.0,0.0,409.0,0.9982123374938964,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RlD7gIYmRXk,2022-12-22,237.0,19.0,14298.0,-0.987664759159088,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FiHZqdcjz7Q,2022-10-26,274.0,2.0,2245.0,-0.998641312122345,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMd4TCmf9IQ,2022-11-08,283.0,1.0,5141.0,0.996180772781372,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jiC1_b-LSr4,2023-02-10,334.0,2.0,2036.0,-0.9984083771705629,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rh197LY6Dw,2023-01-09,246.0,0.0,1219.0,0.998096764087677,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CgcrvYKUoio,2023-01-17,322.0,6.0,1625.0,-0.9982290863990784,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7eMhRFvlxFY,2022-10-31,80.0,0.0,928.0,-0.9957571625709534,TV5,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m-bBbuUApvc,2022-11-26,165.0,10.0,3186.0,-0.9966551065444946,TV5,kodi kathi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apDHeh5jKec,2022-10-12,265.0,57.0,105598.0,-0.9902475476264954,ABN,kodi kathi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,kodi kathi,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
hBJ8H8-R_ts,2022-11-14,136.0,2.0,1206.0,-0.9977697134017944,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X_enUQg5ZJE,2022-11-01,281.0,0.0,739.0,0.9968836903572084,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBOcwUOUNrU,2023-01-03,55.0,1.0,1631.0,-0.9982616305351256,ABN,kodi kathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
