ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,kodur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,chintalapudi.png,eluru.png,palakollu.png,penamaluru.png,myudukur.png,Rajam.png,jaggampeta.png,kanigiri.png,Pendurthi.png,kalayan_durg.png,pedana.png,kaikuluru.png,Etcherla.png,tekkali.png
Ajbp4xxXt64,2022-11-23,130.0,0.0,1371.0,-0.9982995390892028,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5m5TR1uoYfQ,2022-10-01,42900.0,16.0,59239.0,0.9933620691299438,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Y7Y1iXsiCs,2022-06-21,184.0,323.0,167484.0,-0.9981361627578736,Sakshi,ayyanna patrudu ,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Erkebf07aEk,2022-06-25,90.0,400.0,150773.0,-0.9963415265083312,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JZTWfJ2NdFg,2022-12-12,95.0,24.0,6856.0,0.8432700634002686,TV5,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4u-DeuWCjsA,2022-11-03,199.0,0.0,1753.0,-0.9992581009864808,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaeDMXyUTeQ,2022-06-20,136.0,244.0,129878.0,-0.9994196891784668,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QzcCIhqsIdQ,2022-03-05,358.0,18.0,3421.0,-0.9989134073257446,Sakshi,ayyanna patrudu ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4Q7-Wk9e7ng,2023-02-16,205.0,7.0,1718.0,-0.9991913437843324,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZZ2WmRKgiM,2022-11-03,220.0,20.0,5171.0,-0.9985511898994446,TV5,ayyanna patrudu ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OnVipqDiBh8,2022-10-28,150.0,30.0,14843.0,-0.9944936633110046,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wBWS6A7kwyo,2023-01-13,91.0,1.0,966.0,-0.9989662170410156,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ggaNPO5uHMU,2022-11-03,3080.0,17.0,7984.0,-0.9933562874794006,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uObe-2LkM6Y,2022-11-03,42899.0,3.0,184365.0,-0.9951844811439514,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KrlDQdWe5Uk,2023-01-20,20.0,1.0,10657.0,0.996034562587738,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcHBXYbLatk,2022-11-05,217.0,2.0,3801.0,-0.9983826875686646,TV5,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
IaHalgdAbls,2022-11-03,405.0,71.0,45219.0,-0.9923436045646667,TV5,ayyanna patrudu ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sqknkROYb4A,2022-11-20,82.0,4.0,1610.0,-0.9993485808372498,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CagKVHyKk8o,2022-10-10,100.0,3.0,9195.0,0.9683306813240052,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OsDLjPQPWmc,2023-03-01,251.0,70.0,16679.0,0.9986571073532104,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xDKKfqGdKj8,2022-11-03,85.0,2.0,1134.0,-0.9991697072982788,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jROFFgPJJ68,2022-10-01,170.0,12.0,2916.0,-0.9911919236183168,TV5,ayyanna patrudu ,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
gMswZh9SJ9A,2023-02-22,583.0,34.0,9487.0,0.9905513525009156,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viieZ4u5kkA,2023-01-29,243.0,12.0,4060.0,-0.9984112977981568,TV9,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WXTSsRPGhbs,2023-01-17,367.0,9.0,16939.0,-0.9901621341705322,ABN,ayyanna patrudu ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uOBPQKTVZhQ,2022-11-03,367.0,8.0,4500.0,-0.9994832277297974,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-GBWtn21DQ,2022-11-03,462.0,2.0,2055.0,-0.9984297156333924,TV5,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wOjoUJZd7Fg,2023-02-16,217.0,6.0,7205.0,-0.9969180822372437,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
a1DSx1XjuRI,2022-11-04,150.0,0.0,2286.0,-0.9992812275886536,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcEv1OKO21Y,2022-06-16,972.0,218.0,85512.0,-0.9864856004714966,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WD1y3Ijs9Ms,2023-01-21,147.0,2.0,2341.0,-0.9979257583618164,TV9,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lHWWCcexd-A,2022-10-15,100.0,6.0,3700.0,-0.9978399276733398,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j_nw8hDIZrY,2022-11-03,436.0,30.0,30944.0,0.994814157485962,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5LYMnmuXIoM,2022-11-05,250.0,15.0,4049.0,0.9874913692474364,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZKaNDLFq7UI,2022-11-03,441.0,0.0,2527.0,-0.9980242252349854,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MajmgiElj0U,2022-11-03,115.0,2.0,2265.0,-0.9972934126853944,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iw21VAWqRjM,2022-10-29,577.0,33.0,18474.0,-0.994380533695221,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
k0h0NwLT64I,2022-10-01,530.0,20.0,22604.0,-0.9982935786247252,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVg1Gz1glpM,2022-11-03,142.0,82.0,15577.0,-0.996077835559845,Sakshi,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_pH5g_Ki0SY,2022-10-28,80.0,37.0,17011.0,-0.9992541670799256,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J-ZoZy3rqGA,2022-11-05,85.0,5.0,4397.0,-0.997398853302002,TV5,ayyanna patrudu ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TE8CNpO0JSY,2022-11-03,228.0,2.0,7650.0,-0.99751877784729,TV5,ayyanna patrudu ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
_88tLdJwIH4,2022-09-14,140.0,91.0,71168.0,-0.999290943145752,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Opg3gDCXiIc,2022-11-23,176.0,14.0,1662.0,-0.9903661012649536,Sakshi,ayyanna patrudu ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
nxItJ2Pl4hg,2023-02-16,251.0,0.0,712.0,-0.9988551139831544,TV9,ayyanna patrudu ,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
7FE23gmTVgs,2022-12-04,685.0,7.0,2549.0,0.9976757168769836,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96xyJrLPXBY,2022-11-07,60.0,1.0,254.0,-0.9957770109176636,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hw0zcna7cHs,2021-07-23,386.0,28.0,28067.0,-0.990359902381897,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKEGxbDe0Fg,2022-11-03,62.0,1.0,692.0,-0.9989485144615172,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5jvBTr5RLuo,2022-09-14,240.0,16.0,11700.0,-0.998606026172638,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bLdt_4WY1cE,2022-06-18,87.0,130.0,50610.0,-0.9912529587745668,Sakshi,ayyanna patrudu ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNRBZ8Nmk04,2022-10-10,290.0,74.0,171378.0,-0.997051477432251,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5kZ0jLszh3U,2022-12-30,203.0,3.0,3553.0,-0.998829185962677,ABN,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yLP3sI_40r4,2022-06-25,283.0,136.0,62399.0,-0.9994114637374878,Sakshi,ayyanna patrudu ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomm-PFNAns,2022-11-03,10870.0,0.0,29390.0,0.9900951385498048,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j_Mv8eHcsww,2022-10-31,86.0,1.0,1241.0,-0.9980637431144714,ABN,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BfSGQzLiCfI,2023-01-20,230.0,1.0,1800.0,-0.980338454246521,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyau7JHkD40,2023-01-30,306.0,0.0,5616.0,-0.9983130693435668,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDIHqkkYqwA,2022-10-01,85.0,1.0,4565.0,-0.9991379976272584,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8SK4W_aC7ZQ,2022-06-23,95.0,72.0,66636.0,-0.9928100109100342,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fHbwivuOGJY,2023-01-09,432.0,2.0,1713.0,-0.9874407052993774,ABN,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hGUv22q_XOA,2022-09-14,364.0,18.0,9146.0,-0.9948546886444092,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
