ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,banaganapalle.png,penukonda.png,vizianagaram_.png,vijayawada_l.png,jaggayyapeta.png,kodur.png,venkatagiri.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,venkat_krishna.png,palakollu.png,cheepurupali.png,gajapathinagram.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,kalayan_durg.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,kadiri.png,pawan.png
IHR2KSc2-Jg,2022-09-26,335.0,196.0,123972.0,-0.9986518025398254,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
g2xJDyOP5t4,2022-11-25,53.0,5.0,7055.0,0.986541986465454,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lLAV2zoaoTs,2023-01-07,189.0,1.0,26682.0,-0.9975014328956604,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbU1V2mFt-E,2022-11-29,334.0,15.0,4646.0,-0.9901636242866516,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tK3eMTEcIjg,2023-04-07,2770.0,10.0,2077.0,0.996173083782196,Sakshi, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdmVs_BLsME,2022-08-26,302.0,44.0,11577.0,0.9815211892127992,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILD3Xtu3zJM,2022-10-31,111.0,10.0,1101.0,-0.9977855682373048,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE7C3G6CgdY,2023-01-07,3895.0,0.0,5123.0,0.9936811923980712,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le4YIzkdp_8,2022-12-02,237.0,7.0,1592.0,-0.992424488067627,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5, Botsa ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
VqQt3Me6FK8,2022-09-30,705.0,4.0,5049.0,-0.9979583024978638,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At-I3Z-IKIM,2023-01-07,355.0,5.0,6943.0,-0.9953380823135376,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0_s3HSm5mqg,2022-10-18,90.0,0.0,1066.0,0.9945017099380492,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMHH51pb2jo,2022-10-06,145.0,25.0,12556.0,0.9876217246055604,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UbrOD8XBGlU,2022-10-08,195.0,6.0,7051.0,0.9925763607025146,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pka_-aB2axw,2022-11-26,205.0,28.0,9676.0,-0.9865971207618712,TV5, Botsa ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
u4x1I8MeanQ,2022-12-24,215.0,31.0,17686.0,-0.9992407560348512,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooeXxU46zCI,2022-10-11,91.0,7.0,3452.0,-0.994413435459137,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xt7PJ49Hhic,2023-02-05,182.0,3.0,1032.0,0.9877279996871948,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wTQhDyMGFPg,2022-12-08,1880.0,0.0,2314.0,0.9891830682754515,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SnIPzAi5IqU,2023-01-02,42900.0,4.0,181817.0,0.9984769225120544,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8xgQkdzztI,2022-06-27,140.0,1.0,2212.0,0.9873522520065308,Sakshi, Botsa ,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZdBvh7YjkXg,2022-10-08,160.0,20.0,3132.0,-0.99553382396698,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NvwA-mP_TiI,2022-12-11,74.0,4.0,1623.0,-0.99444842338562,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IfUHYWEWNU8,2023-01-26,18.0,14.0,21611.0,-0.9979552030563354,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UyWk446zSNc,2019-12-26,178.0,1.0,4041.0,0.9969898462295532,Sakshi, Botsa ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wk7MtwQQz-U,2021-11-05,160.0,50.0,6702.0,-0.99183452129364,Sakshi, Botsa ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CxB31OQhM98,2022-12-07,105.0,0.0,406.0,-0.9750829935073853,TV9, Botsa ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cWw-EfdM0Cs,2022-11-27,121.0,5.0,1472.0,-0.9967696666717528,TV9, Botsa ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c9olvmA2q-g,2022-10-22,316.0,13.0,8955.0,-0.9859963059425354,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NbRCO0o-avE,2022-12-17,104.0,5.0,4652.0,-0.9993372559547424,ABN, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6v8gYdN3Drs,2021-02-15,151.0,6.0,6586.0,0.997244358062744,Sakshi, Botsa ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0STKft8umuk,2022-08-26,274.0,6.0,3549.0,-0.99739009141922,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFh3aw4G3AI,2022-11-12,483.0,18.0,5046.0,-0.997740626335144,Sakshi, Botsa ,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
hdL990rr_kk,2022-12-10,154.0,0.0,1218.0,0.993650496006012,TV5, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3oJVpOMv6pA,2022-12-08,1901.0,14.0,19239.0,0.990057647228241,Sakshi, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqK_YTQGmx4,2023-02-14,190.0,30.0,14330.0,-0.9886807203292848,TV9, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jBvHWOQkHjo,2023-01-26,325.0,1.0,824.0,0.994629442691803,TV9, Botsa ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi, Botsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
