ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,rajahmundry_rural.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png,denduluru.png
gz1AflaCCfU,2022-09-14,322.0,7.0,3747.0,0.9987020492553712,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zU-fNWWZhOA,2022-11-09,213.0,0.0,2773.0,-0.9993828535079956,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5Iaxrc8yAo,2022-10-13,115.0,1.0,641.0,-0.997821807861328,TV5,butchaiah chowdary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sQUF6Jm5_CI,2022-09-21,13703.0,29.0,54263.0,0.9925670623779296,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H7Q1ESwHKV4,2023-01-10,229.0,10.0,147316.0,-0.9951688647270204,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vwh8AxhFjs0,2022-12-05,3115.0,2.0,4073.0,0.99566912651062,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3IvRIdT4yM,2022-09-14,336.0,1.0,925.0,0.9945106506347656,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELILTaN3mY,2023-01-24,165.0,1.0,780.0,-0.9680721759796144,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNfJl0k7VAU,2023-02-10,329.0,1.0,1380.0,-0.9938207268714904,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GxOcNEG21Ig,2022-11-23,290.0,3.0,1269.0,-0.9983034133911132,TV5,butchaiah chowdary,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hW1pNTOwU6A,2023-01-28,321.0,6.0,3902.0,-0.9949309229850768,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
d59fMG9vvCE,2022-09-11,170.0,104.0,108593.0,-0.9969903230667114,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rZoBYgy6PUU,2022-09-06,365.0,11.0,3613.0,-0.9955451488494872,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8DZpK97TYfo,2022-10-25,375.0,14.0,6582.0,0.9960387945175172,ABN,butchaiah chowdary,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2cSwS_H6xHM,2023-01-03,6510.0,4.0,4838.0,-0.9969450831413268,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s-Rtj9B4nnQ,2023-02-18,392.0,2.0,6815.0,0.9789721965789796,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgvg0PTW9CQ,2023-02-04,270.0,1.0,792.0,-0.9992892742156982,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,butchaiah chowdary,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0qX2vjYo0aw,2023-01-09,310.0,4.0,1882.0,-0.9927781224250792,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At-I3Z-IKIM,2023-01-07,355.0,5.0,6943.0,-0.9953380823135376,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ERepo3GbjXY,2023-01-02,213.0,0.0,611.0,-0.9977787137031556,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZAY6k17jTA,2023-01-07,228.0,8.0,150209.0,-0.982996702194214,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pWLwKIjUZDw,2022-10-30,164.0,0.0,383.0,-0.9987372756004332,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aH9RPVa9Rzo,2022-09-28,350.0,62.0,30586.0,-0.9910504817962646,TV5,butchaiah chowdary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8vwnFIfhDV0,2022-12-21,585.0,16.0,3180.0,0.99604332447052,ABN,butchaiah chowdary,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
JX-ZPYIsdYE,2022-10-13,175.0,1.0,2093.0,-0.9990346431732178,TV5,butchaiah chowdary,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
f8zPREmkkbM,2023-02-10,244.0,11.0,5672.0,-0.998137593269348,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zH8JOIeVmew,2022-09-15,394.0,28.0,10763.0,0.9926937818527222,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mypXpq1Zaqw,2022-03-10,59.0,85.0,109030.0,-0.9944579601287842,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
klzTZW2GNIk,2023-02-18,397.0,5.0,10397.0,-0.9890887141227722,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5kZ0jLszh3U,2022-12-30,203.0,3.0,3553.0,-0.998829185962677,ABN,butchaiah chowdary,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4S0-bAcTnkI,2022-03-10,115.0,173.0,113433.0,-0.9991409778594972,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fCDjYGFnfv8,2022-10-13,520.0,1.0,2214.0,0.9857686161994934,TV5,butchaiah chowdary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9zfhEIu43WU,2023-01-03,391.0,11.0,3340.0,-0.9813410043716432,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
