ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,gandhar_nellore.png,vizianagaram_.png,machillipatnam.png,kodur.png,venkatagiri.png,alur.png,rajinikanth.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,Venkata_Mahesh.png,nandikotkur.png,tekkali.png
QxO1DeMYCVM,2021-11-10,41.0,71.0,60322.0,0.9984216690063475,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X9DZTya6paE,2023-01-06,178.0,3.0,67453.0,-0.998020887374878,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llco01x2lrg,2022-11-27,380.0,91.0,164445.0,-0.998381495475769,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r24jZ447A4Y,2022-12-27,320.0,7.0,2935.0,-0.9894102811813354,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctXI4OIYfSI,2022-12-07,170.0,0.0,478.0,0.9977028965950012,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bafI69tpQvM,2022-11-15,298.0,8.0,2398.0,0.9950409531593324,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-sk6wTbqI9I,2023-01-08,195.0,5.0,3551.0,-0.9978315234184264,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K5A4uv4ufpE,2023-02-06,60.0,1.0,5830.0,-0.8759826421737671,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UF3v-bmwluI,2022-07-31,232.0,46.0,20496.0,0.9844666719436646,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZiLEe-kBWU,2022-10-02,335.0,11.0,1968.0,-0.9993947744369508,Sakshi,Preethi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rbr56gbmJgk,2021-02-18,184.0,4.0,22482.0,0.9981344938278198,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kjr3KF0eym0,2022-09-14,75.0,1.0,1708.0,0.992456555366516,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2VpEU_QkPek,2021-02-20,142.0,1.0,2157.0,0.9987389445304872,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uKC9hRUzuwk,2023-03-03,212.0,58.0,39084.0,0.9970036149024964,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Ey6_Ayuu-c,2023-01-08,67.0,60.0,6687.0,-0.9825655221939088,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-yAh4mVd-U,2023-01-17,181.0,18.0,10646.0,-0.9812989830970764,TV9,Preethi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rAWYo1pNU_w,2022-12-10,221.0,4.0,1877.0,0.9779393076896667,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pz5uGsB7YBs,2022-08-24,75.0,0.0,1067.0,-0.9971996545791626,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_rr5bDJYJM0,2023-02-05,118.0,1.0,3649.0,-0.9922189712524414,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gIcV1H5nMQo,2022-07-11,208.0,295.0,49155.0,-0.9985028505325316,Sakshi,Preethi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5BcNLvA7hzI,2023-02-12,50.0,1.0,15874.0,-0.9869185090065002,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cx19w13mIY,2022-07-07,108.0,21.0,20028.0,0.7861553430557251,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v25BL2DVh6U,2022-09-19,264.0,7.0,1015.0,-0.9906694889068604,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seXefOwNANA,2022-10-03,155.0,0.0,676.0,-0.9980291724205016,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aIyeGYXOSuM,2022-11-01,180.0,82.0,195593.0,-0.9967347979545592,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFr7qdqWWd4,2022-12-06,70.0,2.0,3362.0,0.989462673664093,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26fp71wBU2k,2022-09-22,180.0,30.0,7816.0,-0.9978871941566468,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q3ubckbSSLQ,2022-04-11,136.0,661.0,694097.0,-0.9511234164237976,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR4IOb2Fb-U,2022-09-24,179.0,0.0,1421.0,0.9987670183181764,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
szqRZEEwZAc,2023-01-01,186.0,2.0,2158.0,-0.9965574741363524,Sakshi,Preethi,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
XrBt58Gqkjo,2020-03-09,296.0,0.0,1929.0,0.937455117702484,Sakshi,Preethi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
kI_1ELxFHCc,2022-01-25,95.0,17.0,1950.0,-0.9986327290534972,Sakshi,Preethi,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Preethi,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
nwbGGMO4OyI,2022-08-23,264.0,7.0,2270.0,-0.9936935305595398,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uOBPQKTVZhQ,2022-11-03,367.0,8.0,4500.0,-0.9994832277297974,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pqMKABgcW6I,2022-10-08,70.0,1.0,2592.0,-0.9932286143302916,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sEvHZ94QGbM,2023-02-02,341.0,0.0,2615.0,-0.9973753690719604,TV9,Preethi,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1zIQ_7H_ufQ,2023-01-06,362.0,5.0,1327.0,-0.9989092350006104,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ur7YdF8o4HM,2022-12-20,323.0,1.0,1097.0,-0.9994852542877196,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-R6DiuAUJs,2022-12-06,228.0,15.0,132042.0,-0.9985761642456056,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MhemQc9gIXw,2023-01-12,91.0,12.0,2675.0,0.9894702434539796,TV9,Preethi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rgMgqR2Pp4g,2022-10-15,185.0,0.0,3463.0,0.9950867295265198,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MccpQXrPEaU,2022-11-19,168.0,0.0,820.0,0.9986536502838136,TV9,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oOmDi8l_D7Q,2022-09-05,90.0,0.0,2114.0,0.9973599314689636,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_kKpXrVW3kU,2021-02-21,202.0,0.0,3826.0,0.9969711303710938,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGlcgVX-raw,2023-01-11,255.0,11.0,2552.0,-0.9852945804595948,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
qM_nCQYVIyM,2021-11-09,330.0,12.0,2632.0,-0.9983972907066344,Sakshi,Preethi,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
FulytsAVVK0,2023-01-26,178.0,0.0,565.0,0.9986500144004822,Sakshi,Preethi,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
73sB9FapvE4,2022-09-30,240.0,388.0,114558.0,-0.9772980213165284,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAInHJreiv0,2022-08-26,196.0,123.0,742639.0,-0.9969899654388428,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Dk5UWqzFvA,2021-10-28,96.0,36.0,31670.0,0.9820043444633484,Sakshi,Preethi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6v8gYdN3Drs,2021-02-15,151.0,6.0,6586.0,0.997244358062744,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUvzv9vGNd0,2022-09-30,78.0,1.0,1003.0,0.998392641544342,TV5,Preethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
