ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tirupati_l.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandyal_l.png,nandikotkur.png,tekkali.png
Wyvh-UzGF0U,2022-11-13,147.0,0.0,999.0,-0.9993834495544434,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2jQulV1mmc,2022-09-12,70.0,2.0,4183.0,-0.9980719089508056,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrcfKpmjOx4,2022-10-29,320.0,26.0,5581.0,0.998766303062439,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NsUZzMaAHbs,2022-10-10,216.0,0.0,740.0,-0.9965499639511108,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBzMBe1HDrM,2023-01-16,84.0,52.0,24649.0,0.995537281036377,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MopNqI-O_k0,2023-01-16,86.0,9.0,1484.0,0.9969075322151184,ABN,ram gopal varma,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TF_k-gID3EY,2023-01-24,21.0,0.0,1259.0,-0.9556719064712524,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tby0xJOrxyM,2023-01-11,2865.0,4.0,3417.0,-0.9877960681915284,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4DfUflO0HjA,2022-11-26,187.0,6.0,2512.0,-0.9930301308631896,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4spwTR3y1E,2022-10-29,200.0,55.0,12027.0,-0.9984551668167114,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2epMA6cru7A,2021-02-20,239.0,0.0,1293.0,0.9973590970039368,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmwJ738anpw,2022-10-16,64.0,2.0,9731.0,0.9881762266159058,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bpHcsDiwO4,2023-01-10,104.0,2.0,874.0,-0.9988672733306884,TV5,ram gopal varma,0,1,1,1,0,0,0,0,0,0,0,0,0,0
04y3WqKpJ18,2022-10-16,264.0,3.0,1270.0,0.9951032400131226,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29USEWpA2IE,2021-07-23,299.0,4.0,7953.0,0.991755485534668,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQKKncbqTlM,2022-09-12,70.0,2.0,4049.0,0.99648916721344,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3Qsx8T4QwA,2022-09-12,160.0,1.0,5434.0,-0.9944503307342528,TV5,ram gopal varma,0,1,0,0,0,0,0,0,0,0,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,ram gopal varma,0,0,0,0,0,0,0,0,1,0,0,0,0,0
U6S0GzocGHM,2022-09-24,210.0,2.0,850.0,0.9986282587051392,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XBoqyzc9y70,2023-01-22,148.0,16.0,31427.0,-0.9976939558982848,TV5,ram gopal varma,0,1,1,0,1,0,1,0,1,1,0,0,1,0
slUVvjwznZ0,2022-11-21,57.0,6.0,2951.0,0.9981574416160583,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAlnVWgsCL4,2022-10-31,290.0,9.0,4123.0,-0.9903784990310668,ABN,ram gopal varma,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Jic4Mo91tZQ,2023-01-03,270.0,0.0,3193.0,-0.9966942071914672,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IK2JTM37Lh0,2022-11-23,293.0,3.0,3015.0,0.9866238236427308,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cipHsZhUfVo,2022-10-27,8261.0,15.0,22363.0,0.9960920214653016,TV5,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QcPPJ9QvXTY,2023-01-06,270.0,20.0,11597.0,0.9979292154312134,TV5,ram gopal varma,1,0,0,1,1,0,0,0,0,0,0,0,0,0
eL7-oExTS9Q,2023-01-06,260.0,3.0,2278.0,-0.993150532245636,TV5,ram gopal varma,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,ram gopal varma,0,0,0,0,0,0,0,1,0,1,0,0,0,0
gM1g96ZIhCs,2022-12-16,225.0,0.0,785.0,-0.9970499277114868,ABN,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,ram gopal varma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lKpLSRhFL7g,2022-10-31,117.0,0.0,443.0,0.9978054165840148,ABN,ram gopal varma,0,0,0,0,0,0,0,0,1,0,0,0,0,0
