ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,machillipatnam.png,venkatagiri.png,kakinada.png,pulivendula.png,pawan.png
naFzy7RCPDY,2022-12-23,295.0,44.0,70321.0,0.958074152469635,ABN,megastar chiranjeevi,0,0,0,0,0
oCpHItpWSgQ,2023-01-12,185.0,2.0,1187.0,0.9967477321624756,TV9,megastar chiranjeevi,0,0,0,0,0
g9Tktqdp3ZI,2020-03-03,385.0,0.0,667.0,0.9984508752822876,Sakshi,megastar chiranjeevi,0,0,0,0,0
l_rXpAdCpSM,2022-10-01,345.0,0.0,880.0,0.9988805651664734,TV5,megastar chiranjeevi,0,0,0,0,0
vr9sYWR4M7w,2022-11-28,223.0,130.0,12963.0,-0.991302728652954,Sakshi,megastar chiranjeevi,1,0,0,0,0
6CZv8b8ekZE,2023-01-08,450.0,2.0,7716.0,0.99457585811615,TV9,megastar chiranjeevi,0,1,0,0,0
Q0PlgngeBJ4,2023-04-07,270.0,22.0,18268.0,0.9920791983604432,Sakshi,megastar chiranjeevi,0,0,0,0,0
GmGcJSvfkqo,2023-02-19,113.0,0.0,17880.0,0.9954047203063964,Sakshi,megastar chiranjeevi,0,0,0,0,0
D1lmkZnBZZQ,2022-11-21,126.0,2.0,1393.0,0.9969077706336976,TV9,megastar chiranjeevi,0,0,0,0,0
8KaJpTidKtQ,2021-09-29,24471.0,22.0,21974.0,0.9911962747573853,Sakshi,megastar chiranjeevi,0,0,0,0,0
d8qbHPpPZrA,2023-01-12,87.0,1.0,3274.0,0.9874222278594972,TV9,megastar chiranjeevi,0,0,0,0,0
Sebhk-iDoYc,2023-03-19,363.0,793.0,347123.0,0.998615026473999,Sakshi,megastar chiranjeevi,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,megastar chiranjeevi,0,0,0,0,0
WHfxOU12PUw,2022-11-21,260.0,8.0,2236.0,0.9979442954063416,ABN,megastar chiranjeevi,0,0,0,0,0
OGelxB0tgIk,2022-10-04,111.0,16.0,2172.0,0.997655749320984,TV5,megastar chiranjeevi,0,0,0,0,0
sSoMxdO3uWk,2022-10-06,81.0,0.0,2111.0,0.994164764881134,TV5,megastar chiranjeevi,0,0,0,0,0
d8kwjYemeLE,2023-01-28,335.0,1.0,384.0,0.9987015724182128,ABN,megastar chiranjeevi,0,0,1,0,1
0VVYAsxqEKg,2023-01-09,236.0,2.0,2110.0,-0.9914135932922364,TV9,megastar chiranjeevi,0,0,0,0,0
MCAzG5ywlWk,2022-12-26,186.0,40.0,5186.0,0.9939475059509276,TV9,megastar chiranjeevi,0,0,0,0,0
ihWyCQZ5D34,2023-01-12,212.0,2.0,7996.0,0.998870313167572,TV9,megastar chiranjeevi,0,0,0,0,0
ovh7xbNjO5I,2023-02-09,162.0,2.0,2282.0,-0.9870423078536988,Sakshi,megastar chiranjeevi,0,1,0,0,0
HrBMijdCb-U,2023-01-11,185.0,575.0,1184267.0,0.6579087972640991,TV9,megastar chiranjeevi,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,megastar chiranjeevi,0,0,0,0,0
VZQySC8d8I8,2022-12-12,207.0,2.0,1821.0,0.998068392276764,ABN,megastar chiranjeevi,0,0,0,0,0
FC6tue5saIw,2023-01-09,123.0,0.0,1911.0,0.998729169368744,TV9,megastar chiranjeevi,0,0,0,0,0
vgvm3wKupNY,2023-01-09,109.0,0.0,426.0,-0.9933089017868042,TV9,megastar chiranjeevi,0,0,0,0,0
DP9-3wGgEYk,2023-01-30,6425.0,0.0,5554.0,0.9982183575630188,ABN,megastar chiranjeevi,0,0,0,0,0
ZiRf1AbU6p4,2022-10-05,205.0,2.0,2087.0,0.9980087876319884,TV5,megastar chiranjeevi,0,0,0,0,0
uplwjsf2l_s,2023-03-18,44.0,11.0,43612.0,-0.9917535781860352,TV9,megastar chiranjeevi,0,0,0,0,0
TKnblqr5Bkk,2023-01-08,265.0,0.0,6579.0,0.9978189468383788,TV9,megastar chiranjeevi,0,0,0,0,0
