ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,eluru.png,kalayan_durg.png
Lia-zV3tIyQ,2022-08-25,170.0,125.0,75004.0,-0.998215675354004,TV5,anna canteen,0,0
FU-uMaPjhaU,2022-02-24,88.0,21.0,20559.0,0.9957513809204102,Sakshi,anna canteen,0,0
jd1gI8Bn62Y,2022-11-12,235.0,0.0,1360.0,0.9968979358673096,TV5,anna canteen,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,anna canteen,0,0
Y786-AhDaFM,2023-03-21,215.0,4.0,707.0,-0.9951282739639282,TV5,anna canteen,0,1
2HNTuTAws4E,2023-03-04,315.0,10.0,2980.0,0.9911950826644896,TV5,anna canteen,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,anna canteen,0,0
NX9Cjs5mfDA,2022-09-11,150.0,1.0,502.0,-0.9914016127586364,TV5,anna canteen,0,0
WCLxthFu87I,2022-09-20,234.0,1.0,2394.0,0.9986751675605774,TV5,anna canteen,0,0
uZ8B4umVEec,2022-09-22,110.0,2.0,1764.0,-0.9983450174331664,TV5,anna canteen,0,0
pV2soJxqOrU,2022-09-16,70.0,0.0,3135.0,-0.9977971315383912,TV5,anna canteen,0,0
tpwzYxAEM3c,2022-09-23,396.0,192.0,215686.0,0.9985966086387634,Sakshi,anna canteen,0,0
kjl0zWjzhOU,2023-01-30,311.0,35.0,11595.0,-0.9958586096763612,Sakshi,anna canteen,0,0
YJxDZ_rABvM,2022-11-23,219.0,3.0,39755.0,-0.9978411197662354,TV9,anna canteen,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,anna canteen,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,anna canteen,0,0
jkDXRhdKmes,2023-04-07,305.0,4.0,1804.0,-0.9943278431892396,TV5,anna canteen,0,0
oWMXIaVjuag,2022-09-03,75.0,208.0,239545.0,-0.9989317059516908,TV5,anna canteen,0,0
-xq_FXNHlQc,2023-02-15,71.0,2.0,772.0,-0.9987919926643372,ABN,anna canteen,0,0
GfNWL_suh1E,2022-12-18,92.0,2.0,1955.0,-0.9970051646232604,TV9,anna canteen,0,0
Wvqgoe8oEh0,2023-01-07,199.0,0.0,3052.0,-0.997976005077362,TV9,anna canteen,0,0
tnLAlruGgIw,2022-09-01,11251.0,6.0,36567.0,-0.9982607960700988,TV5,anna canteen,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,anna canteen,0,0
hIaovz9XyE0,2023-04-05,110.0,0.0,2629.0,0.9881068468093872,TV5,anna canteen,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,anna canteen,0,0
9gVtkYFJaFA,2023-01-18,615.0,3.0,6867.0,0.9825284481048584,TV5,anna canteen,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,anna canteen,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,anna canteen,1,0
NSlogXb40Fc,2023-02-13,195.0,3.0,4742.0,0.9924591183662416,ABN,anna canteen,0,0
1sKgALg4hrg,2022-09-04,46.0,1.0,2529.0,0.9986793398857116,TV5,anna canteen,0,0
tKSh51b6Qgc,2022-11-24,231.0,0.0,4024.0,-0.997340977191925,TV5,anna canteen,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,anna canteen,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,anna canteen,0,0
nwUI70ZE3y4,2022-10-30,80.0,0.0,719.0,0.9984164237976074,TV5,anna canteen,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,anna canteen,0,0
TyVA1jp3UPY,2022-10-13,138.0,2.0,2115.0,-0.9984681010246276,TV5,anna canteen,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,anna canteen,0,0
la8KoN8dSzc,2022-09-10,230.0,6.0,4589.0,-0.998658299446106,Sakshi,anna canteen,0,0
dX-exl_2KxA,2023-04-14,253.0,0.0,1198.0,0.9985600113868712,TV9,anna canteen,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,anna canteen,0,0
nEGiHgCBtYs,2023-04-19,140.0,4.0,3804.0,0.995274543762207,TV5,anna canteen,0,1
AYHmMDVTQoI,2021-02-21,189.0,0.0,1079.0,0.9984619617462158,Sakshi,anna canteen,1,0
LKVV0yt1joo,2023-03-10,108.0,1.0,580.0,-0.9887797832489014,TV5,anna canteen,0,0
Bc_WuzpATKg,2022-11-02,305.0,8.0,11614.0,0.9877994060516356,TV5,anna canteen,0,1
VCOv96Qjvsg,2023-02-26,280.0,1.0,339.0,0.9981603026390076,TV9,anna canteen,0,0
Wx3jAO9wlkU,2022-09-03,159.0,8.0,3811.0,-0.9976939558982848,TV5,anna canteen,0,0
vgYPeZgolWE,2022-08-30,185.0,8.0,4008.0,0.9890446662902832,TV5,anna canteen,0,0
aEhW8bO6dWw,2023-04-03,155.0,16.0,15833.0,-0.9983702301979064,ABN,anna canteen,0,0
oh7HcuIZDis,2022-08-26,145.0,7.0,4065.0,-0.9985186457633972,TV5,anna canteen,0,0
VgFbzeWBo9M,2022-12-18,121.0,11.0,4523.0,-0.996238112449646,TV9,anna canteen,0,0
QEnOBqGyLA4,2022-12-18,460.0,31.0,5613.0,-0.9841052889823914,ABN,anna canteen,0,0
LD5QzZcRhLU,2023-04-21,305.0,0.0,2295.0,0.9932882189750672,TV5,anna canteen,0,0
WNnDcjswaVo,2022-10-29,200.0,3.0,2126.0,0.9971998929977416,TV5,anna canteen,0,0
WbHJEMeJB4s,2022-12-18,194.0,2.0,2153.0,-0.99808669090271,TV5,anna canteen,0,0
A7LtR6s3oqQ,2022-12-15,235.0,3.0,358.0,-0.9971935153007508,ABN,anna canteen,0,0
G1pp3wzYTB8,2022-08-25,79.0,186.0,41751.0,-0.9982722997665404,TV5,anna canteen,0,0
_rkFcjobjPg,2022-08-30,104.0,2.0,1244.0,-0.9984827637672424,TV5,anna canteen,0,0
GQEgf07oNF8,2022-09-12,109.0,4.0,6094.0,-0.9988518953323364,TV5,anna canteen,0,0
qMe1Pv5fStA,2022-09-05,276.0,3.0,4274.0,-0.997423529624939,TV5,anna canteen,0,0
k2--NBfOFuw,2022-09-05,355.0,0.0,1601.0,-0.9979259967803956,TV5,anna canteen,0,0
WAea_3eyfhE,2022-09-04,157.0,25.0,14120.0,-0.9971202611923218,TV5,anna canteen,0,0
pCS8P0eLR_U,2023-02-21,311.0,0.0,954.0,-0.9953468441963196,ABN,anna canteen,0,0
oD1QYyGJo68,2022-12-18,120.0,0.0,886.0,-0.991333782672882,TV9,anna canteen,0,0
WPln1gTJEPg,2022-09-07,414.0,165.0,315963.0,-0.9893139600753784,TV5,anna canteen,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,anna canteen,0,0
MjUKznUB7Uw,2023-01-10,270.0,8.0,3036.0,-0.998596727848053,TV9,anna canteen,0,1
Q7PUkh8tqDk,2022-09-04,10313.0,1.0,11221.0,-0.990949809551239,TV5,anna canteen,0,0
ilE_TorWJGM,2022-09-03,238.0,8.0,7024.0,-0.9944327473640442,TV5,anna canteen,0,0
TR4a8mDhEf4,2023-03-23,305.0,130.0,87117.0,0.9986224174499512,TV5,anna canteen,0,0
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,anna canteen,0,0
TkvqhOnfnIQ,2022-08-25,180.0,1.0,2835.0,-0.9893884062767028,TV5,anna canteen,0,0
Ws_mES18Mac,2022-09-05,275.0,1.0,963.0,-0.9948569536209106,TV5,anna canteen,0,0
GgoTpiF4BeI,2023-01-31,99.0,6.0,5905.0,0.9896033406257628,TV5,anna canteen,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,anna canteen,0,0
4pvJEmUaHr4,2022-10-23,245.0,0.0,734.0,0.9988057613372804,ABN,anna canteen,0,0
77Et5b0r2gI,2022-09-18,275.0,82.0,29542.0,0.9950462579727172,TV5,anna canteen,0,0
cv7ozt3gHI0,2022-08-25,75.0,1.0,2082.0,0.9888594150543212,TV5,anna canteen,0,0
UWWzeH9mSRY,2022-08-25,195.0,211.0,234832.0,-0.9969600439071656,TV5,anna canteen,0,0
W981fsGbaqs,2022-10-15,399.0,185.0,4399.0,-0.9987779259681702,Sakshi,anna canteen,0,0
nqbQBsJ3NGo,2022-03-29,232.0,42.0,18519.0,-0.9988645315170288,Sakshi,anna canteen,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,anna canteen,0,0
RsCuQV2WZv8,2022-10-05,226.0,190.0,189982.0,0.9540752172470092,TV5,anna canteen,0,0
EFPjK8Dn3b4,2023-04-18,321.0,24.0,45912.0,0.9623546600341796,TV9,anna canteen,1,0
qXi-niZ27WY,2023-03-21,217.0,14.0,15546.0,0.9278590083122252,TV5,anna canteen,0,0
JEJzU1X_K-o,2023-03-14,214.0,12.0,10289.0,0.996960699558258,TV9,anna canteen,0,0
2bqcovYqZYY,2023-04-13,274.0,19.0,11452.0,-0.9744516611099244,ABN,anna canteen,0,0
Mr8PaBaABHM,2022-08-30,73.0,3.0,1947.0,0.9913474917411804,TV5,anna canteen,0,1
01a81cGfUGU,2022-09-13,214.0,2.0,4653.0,-0.9944639801979064,TV5,anna canteen,0,1
FGoreepXEqI,2022-09-12,229.0,9.0,7387.0,-0.9966223239898682,TV5,anna canteen,0,0
k8ZvO_cGMC0,2022-08-29,305.0,3.0,3019.0,-0.6062717437744141,TV5,anna canteen,0,0
oLNkJBZKMsY,2023-03-22,279.0,21.0,3001.0,-0.9925423860549928,TV9,anna canteen,0,1
LwzjealIGnc,2022-06-10,208.0,938.0,323669.0,-0.997700035572052,Sakshi,anna canteen,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,anna canteen,0,0
XPoJJy6Jolg,2022-09-15,300.0,18.0,5960.0,0.9946139454841614,TV5,anna canteen,0,0
grIW3b4PzEE,2021-02-20,225.0,0.0,1253.0,0.9968423843383788,Sakshi,anna canteen,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,anna canteen,0,0
5wqAD_pEoq0,2022-12-15,87.0,0.0,1158.0,0.996509611606598,ABN,anna canteen,0,0
a5KKerGd9cc,2022-11-26,228.0,63.0,15875.0,-0.9979959726333618,ABN,anna canteen,0,0
HIVAux3YSow,2022-08-25,346.0,14.0,22123.0,-0.9981884360313416,TV5,anna canteen,0,0
HRNbSXRFCik,2023-03-12,328.0,7.0,2941.0,0.9692771434783936,Sakshi,anna canteen,0,0
lAeTi6aqTQ8,2023-02-25,268.0,1.0,920.0,-0.9977989792823792,ABN,anna canteen,0,0
Guo3t84kVbc,2022-09-01,601.0,24.0,44634.0,-0.9991395473480223,TV5,anna canteen,0,0
eYiMkocb-9w,2022-02-06,337.0,85.0,22000.0,0.9976962208747864,Sakshi,anna canteen,0,0
uGS4ZWnO_3A,2022-08-25,280.0,10.0,5514.0,-0.9961345195770264,TV5,anna canteen,0,0
MifcQmSkLuE,2023-04-12,99.0,206.0,86114.0,-0.9960928559303284,Sakshi,anna canteen,0,1
UXjvwFpYdq0,2023-02-25,104.0,1.0,1853.0,0.9965420365333556,TV5,anna canteen,0,0
QASW_fxmUDE,2022-08-26,183.0,0.0,1161.0,0.9857267737388612,TV5,anna canteen,0,0
riEIF2MEgQ4,2022-09-13,256.0,7.0,3826.0,0.9843447804450988,TV5,anna canteen,0,0
sCaEgu7lSWc,2022-08-25,365.0,6.0,2749.0,0.9918922185897828,TV5,anna canteen,0,0
UjE89WPLisM,2022-09-16,327.0,8.0,5320.0,-0.9978708028793336,TV5,anna canteen,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,anna canteen,0,0
dDCMqNMZ_xg,2023-04-05,174.0,8.0,3771.0,0.9976874589920044,TV5,anna canteen,0,0
6j7DY3Ww6Bc,2023-03-15,226.0,1.0,625.0,0.9955008625984192,TV5,anna canteen,0,0
FulEPd-OPt8,2022-09-03,256.0,8.0,3427.0,-0.9638091325759888,TV5,anna canteen,0,0
e36e7igrSDE,2022-11-01,188.0,0.0,2227.0,-0.9867141842842102,ABN,anna canteen,0,0
kUT4VCXoO2Q,2022-07-05,247.0,52.0,33996.0,0.9983962178230286,Sakshi,anna canteen,0,0
iBuVXtP_sEM,2021-02-17,240.0,1.0,9928.0,0.9971060156822203,Sakshi,anna canteen,0,0
MQ_RTqraAxQ,2023-03-25,288.0,0.0,721.0,-0.9983046054840088,TV5,anna canteen,1,0
W0_GJvOm0fg,2022-05-09,254.0,52.0,9590.0,0.9963011741638184,Sakshi,anna canteen,0,0
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,anna canteen,0,0
0f85Qitc34Q,2022-09-03,177.0,2.0,3074.0,-0.999237298965454,TV5,anna canteen,0,0
lwFMEJqsDLI,2022-10-19,336.0,19.0,3425.0,-0.9970136880874634,Sakshi,anna canteen,0,1
VOKrWGAAn-U,2022-09-03,318.0,15.0,13584.0,-0.994561493396759,TV5,anna canteen,0,0
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,anna canteen,0,0
ajbwOKs757g,2022-09-12,81.0,2.0,2493.0,-0.9974767565727234,TV5,anna canteen,0,0
mCz-3VIhk-k,2023-03-13,283.0,1.0,3289.0,-0.9967034459114076,ABN,anna canteen,0,0
SGI26NeIxxs,2023-03-21,217.0,28.0,23449.0,0.9910091161727904,TV5,anna canteen,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,anna canteen,0,0
Ansyza5LJRc,2022-08-24,2595.0,9.0,17503.0,-0.9970473647117616,TV5,anna canteen,0,0
Sr6oaxXr3Wc,2022-12-19,298.0,90.0,11951.0,-0.9942771792411804,Sakshi,anna canteen,0,0
