ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,kadapa_l.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,palakollu.png,myudukur.png,pulivendula.png,kanigiri.png,sarvepalli.png,kalayan_durg.png,kaikuluru.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,prathipadu_.png,nandyal_l.png,paderu.png,nandikotkur.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,palakonda.png,Narasannapeta.png,tirupati_l2.png
n1InKQS6OLg,2022-09-29,105.0,10.0,1910.0,0.9980192184448242,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AhKSpvAuxGo,2022-10-02,192.0,1.0,2388.0,0.9967509508132936,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07W9B3mvQic,2022-12-09,129.0,36.0,31269.0,0.9961313009262084,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WR2hfWqj0MI,2022-10-16,389.0,20.0,2050.0,-0.9869340658187866,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XYCp-Dikiok,2023-02-24,80.0,6.0,1442.0,-0.9979469180107116,Sakshi,ys vijayamma,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
rDZeybr-Vlg,2020-03-14,274.0,0.0,1828.0,-0.9958459734916688,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uOsBWS7d3Vw,2023-01-01,118.0,0.0,701119.0,-0.9919900298118592,ABN,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jSHFQE6HzPw,2022-12-04,140.0,0.0,1041.0,0.9984297156333924,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
819se6yAuW0,2023-01-17,174.0,1.0,1021.0,0.9933173656463624,ABN,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5jQc0YtZD0M,2022-10-04,489.0,3.0,11216.0,0.99326354265213,Sakshi,ys vijayamma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
