ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,tekkali.png,denduluru.png,tirupati_l2.png
LWicyKWFlmM,2022-11-30,158.0,0.0,507.0,-0.9881824851036072,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Hy-ZhENvaWI,2023-01-08,1265.0,6.0,2930.0,-0.9964994192123412,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
MYzgWdndx8s,2023-01-02,370.0,11.0,17639.0,-0.9984145164489746,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
szqRZEEwZAc,2023-01-01,186.0,2.0,2158.0,-0.9965574741363524,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
dNyKZpNitYk,2023-01-02,410.0,9.0,7388.0,0.9985091090202332,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
CgOE6O2jaLM,2021-02-17,188.0,1.0,14116.0,0.9976388216018676,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
4Et7F7gF97o,2022-11-08,71.0,6.0,630.0,-0.9984182119369508,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
W9eThjjnln0,2022-09-25,83.0,0.0,818.0,0.9979254007339478,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,1,0,1,0,0,0
P7_arlAn8GQ,2023-01-02,356.0,3.0,1754.0,-0.9981622099876404,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
jnz7eMoO-GA,2022-09-25,304.0,0.0,1296.0,0.9977387189865112,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
l8RKpTtSbN0,2021-02-21,306.0,1.0,8962.0,0.99410879611969,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
TRTYdIadQXY,2022-11-20,63.0,0.0,1763.0,0.982714831829071,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
2xWKXnqXEmU,2022-12-20,455.0,2.0,1068.0,-0.9975557327270508,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
k3vBE3rkaUA,2023-02-14,336.0,0.0,1199.0,-0.9927423000335692,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
kWGFlI6z-KY,2022-11-19,369.0,130.0,109595.0,-0.9983453750610352,Sakshi,chintamaneni prabhakar,1,0,1,0,0,0,0,0,0,0,1,0
xdH2n_qP6XM,2021-02-18,172.0,0.0,1998.0,0.9985812902450562,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
JMS5zz9MN9M,2023-02-10,116.0,0.0,591.0,0.998626708984375,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
wBfPfMzYwNE,2022-12-31,386.0,2.0,3627.0,0.9987718462944032,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
7RmljnftVGQ,2022-11-21,187.0,1.0,40099.0,-0.9806652665138244,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
f4PF8m6jjTQ,2022-11-30,228.0,2.0,16216.0,-0.9774641394615172,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Pu7GWlmYGQo,2022-10-30,57.0,1.0,1609.0,0.9986259937286376,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
n-R6DiuAUJs,2022-12-06,228.0,15.0,132042.0,-0.9985761642456056,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
cVITQf1uVDY,2023-01-02,357.0,79.0,71072.0,-0.9992189407348632,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
ovhDknr3K-A,2023-01-05,333.0,1.0,898.0,-0.9974963068962096,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
iahHK6_4874,2021-08-21,293.0,7.0,12339.0,-0.9861266016960144,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
699S7rQmFgU,2022-10-11,305.0,14.0,6012.0,0.9947118759155272,Sakshi,chintamaneni prabhakar,1,1,0,0,0,0,0,0,0,0,1,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,1,0,0,0,0,0
8o73xDL8pao,2022-09-01,89.0,0.0,592.0,0.9917489290237428,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
H8jxPZtqsWU,2022-11-29,130.0,1.0,482.0,-0.980417251586914,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,chintamaneni prabhakar,0,0,0,0,1,0,0,1,0,0,0,1
fH_8vbKXCOM,2022-11-25,224.0,8.0,2445.0,0.9962555170059204,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
eOrTALiXoRc,2022-11-27,66.0,0.0,2067.0,0.9988998174667358,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
VoY3ieEBSh8,2022-11-30,95.0,26.0,16592.0,-0.9919741749763488,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
xzi0QwxThp8,2019-12-24,106.0,2.0,2672.0,0.998222291469574,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
7zGVDglr2Wg,2023-04-21,102.0,6.0,2276.0,0.9969622492790222,TV9,chintamaneni prabhakar,1,1,1,0,0,0,1,0,1,0,0,0
GInOO8OP-nI,2023-01-02,462.0,0.0,2359.0,-0.9978768825531006,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,1,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
pUh_whsOHqs,2023-02-24,255.0,6.0,1846.0,-0.9935603141784668,Sakshi,chintamaneni prabhakar,1,0,1,0,0,0,0,0,0,0,1,0
wnUR5oQE3mM,2023-01-02,272.0,0.0,739.0,-0.9994590878486632,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
