ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,machillipatnam.png,Srungavarapukota.png,srikakulam_.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,palakollu.png,rajinikanth.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,nandikotkur.png,tekkali.png,kadiri.png
-IhrbmY5wZY,2021-12-13,257.0,9.0,3621.0,0.993170976638794,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jPSlT506aQo,2023-01-27,129.0,2.0,6498.0,0.9835547804832458,ABN,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cokzTW4er6g,2022-10-18,138.0,36.0,1746.0,-0.998007833957672,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38NKTPngpbo,2023-02-10,237.0,0.0,847.0,-0.9943910241127014,ABN,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBFSt5TG_08,2022-07-05,362.0,102.0,55344.0,0.9987757802009584,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_6-IhUHcgA,2022-07-01,275.0,31.0,13686.0,0.997876524925232,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z6q8D9VXi6Y,2022-11-12,270.0,2.0,841.0,-0.994523286819458,TV5,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM6Hed4jPxw,2021-02-20,332.0,3.0,3916.0,0.9974530339241028,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUjCA21yP2A,2021-02-18,602.0,4.0,4799.0,0.9938071370124816,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-FBITp-l-X0,2022-12-07,220.0,6.0,2156.0,0.9982178807258606,TV5,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_N-VlcO5VmI,2023-04-20,68.0,13.0,6463.0,-0.9988356232643129,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hlcWXywR7v8,2022-12-25,145.0,5.0,24216.0,0.994860827922821,Sakshi,privatization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
