ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,tenali.png,venkatagiri.png,eluru.png,venkat_krishna.png,palakollu.png,vinukonda.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png
iHxDWI7hCCM,2023-01-09,253.0,0.0,590.0,0.9968488812446594,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
xFLJJalYyTA,2021-02-17,180.0,0.0,2723.0,0.9986616373062134,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
rReDohgwKJw,2023-02-18,173.0,168.0,186583.0,-0.999341070652008,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
ALdQXV0xsZc,2022-09-25,84.0,0.0,1478.0,0.9965978264808656,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
bwPI6Cws5kw,2023-04-18,77.0,0.0,544.0,0.9985365867614746,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
GAIPJjcef7o,2022-09-10,265.0,2.0,595.0,-0.9841833710670472,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
wFX12gtGFXg,2022-08-22,225.0,46.0,15493.0,-0.998197376728058,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
mLxQKC0D54U,2023-04-22,190.0,0.0,540.0,0.9964082837104796,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
AvROo_W-tuY,2022-10-02,58.0,10.0,5817.0,0.99860018491745,TV5,undavalli arun kumar,1,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,undavalli arun kumar,1,0,0,0,0,0,0,0,0,0,0,0
N8dX_NqY3BU,2022-11-19,202.0,7.0,2958.0,-0.9902262687683104,Sakshi,undavalli arun kumar,0,0,1,0,0,0,1,0,0,0,0,1
-DKL8od2cqQ,2022-12-07,280.0,47.0,21412.0,-0.9989219903945924,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
20_k2dlAO98,2023-01-19,82.0,1.0,3403.0,-0.9972813129425048,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
qr7zhct4cVg,2020-03-07,1105.0,10.0,27949.0,0.9982543587684632,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
UxsoPD_0MAg,2023-02-18,389.0,0.0,2104.0,-0.9993001222610474,TV9,undavalli arun kumar,0,0,1,0,0,0,1,0,0,0,0,1
p2bfvtxSaLg,2022-08-22,34600.0,23.0,66030.0,0.9889535903930664,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
DXEVEQoxigA,2022-10-31,276.0,2.0,425.0,-0.9984288811683656,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
U_MnXJfCXVo,2023-02-18,306.0,1.0,1933.0,0.9912344217300416,TV9,undavalli arun kumar,0,0,1,0,0,0,1,0,0,0,0,1
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,undavalli arun kumar,0,0,1,1,0,0,0,0,1,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
cdxRLoUtPQ4,2023-02-28,266.0,0.0,3047.0,-0.9818131923675536,TV9,undavalli arun kumar,0,0,1,0,0,0,0,0,0,0,0,0
exyaLF4_YTA,2022-11-25,218.0,8.0,28606.0,-0.9941347241401672,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
