ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,tadikonda.png,eluru.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,tekkali.png
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7hpxa06WXE,2022-12-11,57.0,1.0,899.0,0.994617998600006,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,bhuma akhila priya,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
WaeDMXyUTeQ,2022-06-20,136.0,244.0,129878.0,-0.9994196891784668,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WE_du7MPYoM,2022-12-08,364.0,0.0,1832.0,0.9985752105712892,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sZuH-UtuPao,2022-12-11,300.0,2.0,2156.0,-0.9981156587600708,TV9,bhuma akhila priya,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
wBWS6A7kwyo,2023-01-13,91.0,1.0,966.0,-0.9989662170410156,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBOcwUOUNrU,2023-01-03,55.0,1.0,1631.0,-0.9982616305351256,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bKLny0uM6Jo,2022-12-18,100.0,0.0,369.0,-0.9969457983970642,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JtmZe9iEzj4,2023-02-12,75.0,3.0,1246.0,-0.9990524649620056,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tcHBXYbLatk,2022-11-05,217.0,2.0,3801.0,-0.9983826875686646,TV5,bhuma akhila priya,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Dqtzlm1B5KA,2023-02-07,539.0,633.0,251323.0,0.998558223247528,TV5,bhuma akhila priya,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Vv4Z2eQkjXY,2022-12-31,183.0,14.0,8730.0,-0.9977636337280272,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aZz9sBUuCZ0,2022-12-26,84.0,6.0,3213.0,0.993582546710968,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be_M9VSQHm8,2023-02-08,250.0,0.0,2424.0,-0.674613893032074,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmBVv7t2LYY,2022-11-19,205.0,0.0,683.0,-0.998421311378479,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dOtcPpAfSMw,2023-01-06,467.0,2.0,3214.0,-0.9975138902664183,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
szqRZEEwZAc,2023-01-01,186.0,2.0,2158.0,-0.9965574741363524,Sakshi,bhuma akhila priya,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
