ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vishakapatnam_west.png,kakinada.png,pulivendula.png,tekkali.png
ANFeFRDV3D8,2022-09-27,75.0,0.0,2954.0,0.992251455783844,TV5,Kadapa Steel Plant,0,0,0,0
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,Kadapa Steel Plant,0,0,0,0
kVfMKUcdefI,2019-12-23,148.0,6.0,22013.0,0.996648609638214,Sakshi,Kadapa Steel Plant,0,0,0,0
j4WcF7Nt2PY,2021-02-20,248.0,5.0,2204.0,0.993498921394348,Sakshi,Kadapa Steel Plant,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Kadapa Steel Plant,0,0,0,0
G2xCv79gqsY,2022-10-08,175.0,70.0,28478.0,-0.9980649352073668,TV5,Kadapa Steel Plant,0,0,0,0
0BmJx7P2vhU,2022-10-19,105.0,0.0,1331.0,0.9960540533065796,TV5,Kadapa Steel Plant,0,1,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Kadapa Steel Plant,0,0,0,0
7BcPHCWs-lo,2023-01-10,340.0,13.0,9158.0,-0.9968665242195128,TV5,Kadapa Steel Plant,0,0,0,0
tcHBXYbLatk,2022-11-05,217.0,2.0,3801.0,-0.9983826875686646,TV5,Kadapa Steel Plant,1,1,0,1
Wwep4M_CvJA,2022-12-13,210.0,8.0,75887.0,-0.6765498518943787,TV9,Kadapa Steel Plant,0,0,0,0
bUYSz5VF8CY,2019-12-22,103.0,11.0,15679.0,0.9979531764984132,Sakshi,Kadapa Steel Plant,0,0,1,0
jBK1292RiVs,2022-12-30,207.0,3.0,1425.0,0.9862619042396544,ABN,Kadapa Steel Plant,0,0,0,1
xDzToiNNTO4,2022-08-24,110.0,0.0,247.0,-0.9991766810417176,TV5,Kadapa Steel Plant,0,0,0,0
bupeJZQF8ls,2022-12-23,262.0,4.0,3512.0,0.9970192909240724,TV9,Kadapa Steel Plant,0,0,1,0
GNnUEKixg68,2023-01-31,177.0,4.0,7063.0,-0.995276927947998,ABN,Kadapa Steel Plant,0,0,0,0
CFQ24Vsx7xw,2022-09-16,11930.0,1.0,26417.0,-0.9666154384613036,TV5,Kadapa Steel Plant,0,0,0,0
